,price_ahead_clear,info_date,info_hour
1,350.0,2024-09-01,00:15
2,430.0,2024-09-01,00:30
3,450.0,2024-09-01,00:45
4,420.0,2024-09-01,01:00
5,400.0,2024-09-01,01:15
6,400.0,2024-09-01,01:30
7,400.0,2024-09-01,01:45
8,390.0,2024-09-01,02:00
9,400.0,2024-09-01,02:15
10,400.0,2024-09-01,02:30
11,400.0,2024-09-01,02:45
12,400.0,2024-09-01,03:00
13,410.0,2024-09-01,03:15
14,400.0,2024-09-01,03:30
15,400.0,2024-09-01,03:45
16,400.0,2024-09-01,04:00
17,400.0,2024-09-01,04:15
18,400.0,2024-09-01,04:30
19,390.0,2024-09-01,04:45
20,400.0,2024-09-01,05:00
21,390.0,2024-09-01,05:15
22,370.0,2024-09-01,05:30
23,340.0,2024-09-01,05:45
24,350.0,2024-09-01,06:00
25,350.0,2024-09-01,06:15
26,330.0,2024-09-01,06:30
27,320.0,2024-09-01,06:45
28,320.0,2024-09-01,07:00
29,50.0,2024-09-01,07:15
30,50.0,2024-09-01,07:30
31,50.0,2024-09-01,07:45
32,231.01,2024-09-01,08:00
33,245.29,2024-09-01,08:15
34,232.23,2024-09-01,08:30
35,214.74,2024-09-01,08:45
36,56.79,2024-09-01,09:00
37,103.19,2024-09-01,09:15
38,161.28,2024-09-01,09:30
39,229.7,2024-09-01,09:45
40,246.46,2024-09-01,10:00
41,111.38,2024-09-01,10:15
42,128.79,2024-09-01,10:30
43,195.75,2024-09-01,10:45
44,216.05,2024-09-01,11:00
45,220.98,2024-09-01,11:15
46,214.17,2024-09-01,11:30
47,215.68,2024-09-01,11:45
48,168.98,2024-09-01,12:00
49,151.91,2024-09-01,12:15
50,73.82,2024-09-01,12:30
51,62.71,2024-09-01,12:45
52,57.11,2024-09-01,13:00
53,51.41,2024-09-01,13:15
54,51.34,2024-09-01,13:30
55,51.28,2024-09-01,13:45
56,56.86,2024-09-01,14:00
57,56.85,2024-09-01,14:15
58,73.56,2024-09-01,14:30
59,135.44,2024-09-01,14:45
60,157.1,2024-09-01,15:00
61,165.14,2024-09-01,15:15
62,202.97,2024-09-01,15:30
63,214.84,2024-09-01,15:45
64,243.7,2024-09-01,16:00
65,227.07,2024-09-01,16:15
66,236.28,2024-09-01,16:30
67,211.45,2024-09-01,16:45
68,202.46,2024-09-01,17:00
69,185.31,2024-09-01,17:15
70,204.56,2024-09-01,17:30
71,246.68,2024-09-01,17:45
72,227.54,2024-09-01,18:00
73,371.48,2024-09-01,18:15
74,386.0,2024-09-01,18:30
75,405.03,2024-09-01,18:45
76,335.42,2024-09-01,19:00
77,293.65,2024-09-01,19:15
78,283.28,2024-09-01,19:30
79,282.41,2024-09-01,19:45
80,295.28,2024-09-01,20:00
81,256.31,2024-09-01,20:15
82,227.91,2024-09-01,20:30
83,218.81,2024-09-01,20:45
84,287.84,2024-09-01,21:00
85,288.73,2024-09-01,21:15
86,278.49,2024-09-01,21:30
87,278.38,2024-09-01,21:45
88,278.58,2024-09-01,22:00
89,259.75,2024-09-01,22:15
90,192.47,2024-09-01,22:30
91,200.0,2024-09-01,22:45
92,190.0,2024-09-01,23:00
93,330.0,2024-09-01,23:15
94,310.0,2024-09-01,23:30
95,310.0,2024-09-01,23:45
96,300.0,2024-09-01,24:00
97,240.51,2024-09-02,00:15
98,310.34,2024-09-02,00:30
99,343.37,2024-09-02,00:45
100,350.0,2024-09-02,01:00
101,265.53,2024-09-02,01:15
102,265.98,2024-09-02,01:30
103,263.89,2024-09-02,01:45
104,314.18,2024-09-02,02:00
105,360.0,2024-09-02,02:15
106,360.0,2024-09-02,02:30
107,360.0,2024-09-02,02:45
108,360.0,2024-09-02,03:00
109,370.0,2024-09-02,03:15
110,370.0,2024-09-02,03:30
111,400.0,2024-09-02,03:45
112,400.0,2024-09-02,04:00
113,400.0,2024-09-02,04:15
114,400.0,2024-09-02,04:30
115,400.0,2024-09-02,04:45
116,400.0,2024-09-02,05:00
117,400.0,2024-09-02,05:15
118,400.0,2024-09-02,05:30
119,370.0,2024-09-02,05:45
120,360.0,2024-09-02,06:00
121,370.0,2024-09-02,06:15
122,390.0,2024-09-02,06:30
123,400.0,2024-09-02,06:45
124,400.0,2024-09-02,07:00
125,360.0,2024-09-02,07:15
126,350.0,2024-09-02,07:30
127,340.0,2024-09-02,07:45
128,170.0,2024-09-02,08:00
129,70.0,2024-09-02,08:15
130,70.0,2024-09-02,08:30
131,46.78,2024-09-02,08:45
132,45.3,2024-09-02,09:00
133,40.0,2024-09-02,09:15
134,40.0,2024-09-02,09:30
135,45.77,2024-09-02,09:45
136,45.67,2024-09-02,10:00
137,40.0,2024-09-02,10:15
138,40.0,2024-09-02,10:30
139,40.0,2024-09-02,10:45
140,40.0,2024-09-02,11:00
141,40.0,2024-09-02,11:15
142,40.0,2024-09-02,11:30
143,40.0,2024-09-02,11:45
144,40.0,2024-09-02,12:00
145,40.0,2024-09-02,12:15
146,40.0,2024-09-02,12:30
147,40.0,2024-09-02,12:45
148,40.0,2024-09-02,13:00
149,40.0,2024-09-02,13:15
150,40.0,2024-09-02,13:30
151,40.0,2024-09-02,13:45
152,40.0,2024-09-02,14:00
153,40.0,2024-09-02,14:15
154,40.0,2024-09-02,14:30
155,40.0,2024-09-02,14:45
156,40.0,2024-09-02,15:00
157,40.0,2024-09-02,15:15
158,40.0,2024-09-02,15:30
159,40.0,2024-09-02,15:45
160,44.59,2024-09-02,16:00
161,44.61,2024-09-02,16:15
162,40.0,2024-09-02,16:30
163,40.0,2024-09-02,16:45
164,40.0,2024-09-02,17:00
165,46.62,2024-09-02,17:15
166,52.74,2024-09-02,17:30
167,52.55,2024-09-02,17:45
168,76.1,2024-09-02,18:00
169,247.11,2024-09-02,18:15
170,275.82,2024-09-02,18:30
171,327.73,2024-09-02,18:45
172,256.24,2024-09-02,19:00
173,193.85,2024-09-02,19:15
174,208.27,2024-09-02,19:30
175,215.02,2024-09-02,19:45
176,195.63,2024-09-02,20:00
177,207.58,2024-09-02,20:15
178,121.24,2024-09-02,20:30
179,90.48,2024-09-02,20:45
180,52.5,2024-09-02,21:00
181,40.0,2024-09-02,21:15
182,40.0,2024-09-02,21:30
183,40.0,2024-09-02,21:45
184,40.0,2024-09-02,22:00
185,49.28,2024-09-02,22:15
186,40.0,2024-09-02,22:30
187,40.0,2024-09-02,22:45
188,40.0,2024-09-02,23:00
189,58.56,2024-09-02,23:15
190,95.87,2024-09-02,23:30
191,49.29,2024-09-02,23:45
192,49.29,2024-09-02,24:00
193,40.0,2024-09-03,00:15
194,45.75,2024-09-03,00:30
195,84.82,2024-09-03,00:45
196,97.68,2024-09-03,01:00
197,71.97,2024-09-03,01:15
198,71.85,2024-09-03,01:30
199,52.7,2024-09-03,01:45
200,71.98,2024-09-03,02:00
201,104.3,2024-09-03,02:15
202,79.33,2024-09-03,02:30
203,94.59,2024-09-03,02:45
204,106.27,2024-09-03,03:00
205,126.57,2024-09-03,03:15
206,133.9,2024-09-03,03:30
207,127.35,2024-09-03,03:45
208,135.24,2024-09-03,04:00
209,127.48,2024-09-03,04:15
210,128.6,2024-09-03,04:30
211,149.84,2024-09-03,04:45
212,151.69,2024-09-03,05:00
213,152.82,2024-09-03,05:15
214,150.68,2024-09-03,05:30
215,152.52,2024-09-03,05:45
216,153.07,2024-09-03,06:00
217,145.04,2024-09-03,06:15
218,173.88,2024-09-03,06:30
