,gen_real_clear,dg_real_clear,ne_real_clear,load_real_clear,wind_real_clear,pv_real_clear,hydro_real_clear,tieline_real_clear,price_real_clear_shift_1,jingjiakongjian,jingjiakongjian_shift_1,sdsurplus,time_order,temperature_620000,temperature_620001,temperature_620002,pressure_620000,pressure_620001,pressure_620002,solartotal_620000,solartotal_620001,solartotal_620002,totalcloud_620000,totalcloud_620001,totalcloud_620002,humidity_620000,humidity_620001,humidity_620002,windspeed_620000,windspeed_620001,windspeed_620002,winddirection_620000,winddirection_620001,winddirection_620002,rainfall_620000,rainfall_620001,rainfall_620002,feeltemp_620000,feeltemp_620001,feeltemp_620002,solar_term,info_date,info_hour
0,24854.0,6860.0,11532.3332,17733.0,11481.0,51.3332,4543.71,7119.9919,40.0,1916.9487000000008,,1.008100000000013,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,2024-08-30,24:00
1,24885.0,7212.0,11115.2344,17634.0,11063.9,51.3344,4538.55,7250.3504,371.24,2018.565999999999,1916.9487000000008,0.6495999999997366,0,19.865517,19.820896,20.015,808.45977,806.519403,814.96,0.0,0.0,0.0,0.852632,0.891119,0.7237,0.81746,0.856552,0.6865,5.458138,5.814905,4.36604,162.482759,139.464179,239.595,0.037931,0.025373,0.08,14.298851,14.564179,13.41,16,2024-08-31,00:15
2,25539.0,8013.0,9964.7752,17599.0,9913.5,51.2752,4876.37,7940.712,289.45,2685.5668000000005,2018.565999999999,-0.7120000000004438,1,19.865517,19.820896,20.015,808.45977,806.519403,814.96,0.0,0.0,0.0,0.852632,0.891119,0.7237,0.81746,0.856552,0.6865,5.458138,5.814905,4.36604,162.482759,139.464179,239.595,0.037931,0.025373,0.08,14.298851,14.564179,13.41,16,2024-08-31,00:30
3,25571.0,7851.0,9726.2424,17364.0,9674.97,51.2724,4802.86,8211.1338,234.59,3195.0314,2685.5668000000005,-4.13379999999961,2,19.865517,19.820896,20.015,808.45977,806.519403,814.96,0.0,0.0,0.0,0.852632,0.891119,0.7237,0.81746,0.856552,0.6865,5.458138,5.814905,4.36604,162.482759,139.464179,239.595,0.037931,0.025373,0.08,14.298851,14.564179,13.41,16,2024-08-31,00:45
4,25885.0,7844.0,9839.7125,17434.0,9788.44,51.2725,4798.6,8452.7483,228.82,3404.4357999999993,3195.0314,-1.7482999999992899,3,19.865517,19.820896,20.015,808.45977,806.519403,814.96,0.0,0.0,0.0,0.852632,0.891119,0.7237,0.81746,0.856552,0.6865,5.458138,5.814905,4.36604,162.482759,139.464179,239.595,0.037931,0.025373,0.08,14.298851,14.564179,13.41,16,2024-08-31,01:00
5,25841.0,7823.0,10160.2728,17341.0,10109.0,51.2728,4793.93,8500.5971,218.93,3064.394299999998,3404.4357999999993,-0.5971000000008644,4,19.442529,19.437313,19.46,808.442529,806.537313,814.825,0.0,0.0,0.0,0.910908,0.95591,0.76015,0.829966,0.869299,0.6982,5.367638,5.804361,4.030789,166.348276,139.337313,256.835,0.047126,0.047761,0.045,14.104598,14.391045,13.145,16,2024-08-31,01:15
6,25770.0,7844.0,10188.2725,17395.0,10137.0,51.2725,4871.18,8374.3216,169.15,2865.8691,3064.394299999998,0.6784000000006927,5,19.442529,19.437313,19.46,808.442529,806.537313,814.825,0.0,0.0,0.0,0.910908,0.95591,0.76015,0.829966,0.869299,0.6982,5.367638,5.804361,4.030789,166.348276,139.337313,256.835,0.047126,0.047761,0.045,14.104598,14.391045,13.145,16,2024-08-31,01:30
7,25602.0,7845.0,9987.6455,17362.0,9936.29,51.3555,4815.42,8236.7929,230.52,2950.7273999999998,2865.8691,3.2070999999996275,6,19.442529,19.437313,19.46,808.442529,806.537313,814.825,0.0,0.0,0.0,0.910908,0.95591,0.76015,0.829966,0.869299,0.6982,5.367638,5.804361,4.030789,166.348276,139.337313,256.835,0.047126,0.047761,0.045,14.104598,14.391045,13.145,16,2024-08-31,01:45
8,25497.0,7860.0,9531.7897,17349.0,9480.44,51.3497,4771.23,8149.0661,230.86,3335.046400000001,2950.7273999999998,-1.0661000000000058,7,19.442529,19.437313,19.46,808.442529,806.537313,814.825,0.0,0.0,0.0,0.910908,0.95591,0.76015,0.829966,0.869299,0.6982,5.367638,5.804361,4.030789,166.348276,139.337313,256.835,0.047126,0.047761,0.045,14.104598,14.391045,13.145,16,2024-08-31,02:00
9,25655.0,8079.0,9052.8513,17300.0,9001.58,51.2713,4763.49,8355.1125,240.12,3759.771200000001,3335.046400000001,-0.1124999999992724,8,19.013793,19.116418,18.67,808.15977,806.191045,814.755,0.0,0.0,0.0,0.925172,0.991373,0.7034,0.842621,0.881149,0.71355,5.235977,5.728694,3.727726,160.056322,137.468657,235.725,0.044828,0.041791,0.055,13.650575,14.173134,11.9,16,2024-08-31,02:15
