,price_real_clear,info_date,info_hour
0,40.0,2024-08-30,24:00
1,40.0,2024-08-31,00:15
2,212.75,2024-08-31,00:30
3,40.0,2024-08-31,00:45
4,40.0,2024-08-31,01:00
5,166.2,2024-08-31,01:15
6,40.0,2024-08-31,01:30
7,40.0,2024-08-31,01:45
8,40.0,2024-08-31,02:00
9,40.0,2024-08-31,02:15
10,40.0,2024-08-31,02:30
11,40.0,2024-08-31,02:45
12,40.0,2024-08-31,03:00
13,40.0,2024-08-31,03:15
14,40.0,2024-08-31,03:30
15,40.0,2024-08-31,03:45
16,40.0,2024-08-31,04:00
17,40.0,2024-08-31,04:15
18,40.0,2024-08-31,04:30
19,320.0,2024-08-31,04:45
20,320.0,2024-08-31,05:00
21,40.0,2024-08-31,05:15
22,290.0,2024-08-31,05:30
23,290.0,2024-08-31,05:45
24,40.0,2024-08-31,06:00
25,40.0,2024-08-31,06:15
26,40.0,2024-08-31,06:30
27,290.7,2024-08-31,06:45
28,40.0,2024-08-31,07:00
29,320.0,2024-08-31,07:15
30,40.0,2024-08-31,07:30
31,40.0,2024-08-31,07:45
32,40.0,2024-08-31,08:00
33,40.0,2024-08-31,08:15
34,40.0,2024-08-31,08:30
35,40.0,2024-08-31,08:45
36,40.0,2024-08-31,09:00
37,40.0,2024-08-31,09:15
38,40.0,2024-08-31,09:30
39,40.0,2024-08-31,09:45
40,40.0,2024-08-31,10:00
41,40.0,2024-08-31,10:15
42,40.0,2024-08-31,10:30
43,40.0,2024-08-31,10:45
44,40.0,2024-08-31,11:00
45,40.0,2024-08-31,11:15
46,40.0,2024-08-31,11:30
47,250.52,2024-08-31,11:45
48,40.0,2024-08-31,12:00
49,40.0,2024-08-31,12:15
50,40.0,2024-08-31,12:30
51,40.0,2024-08-31,12:45
52,40.0,2024-08-31,13:00
53,40.0,2024-08-31,13:15
54,40.0,2024-08-31,13:30
55,40.0,2024-08-31,13:45
56,40.0,2024-08-31,14:00
57,336.9,2024-08-31,14:15
58,336.59,2024-08-31,14:30
59,319.6,2024-08-31,14:45
60,327.21,2024-08-31,15:00
61,244.72,2024-08-31,15:15
62,270.41,2024-08-31,15:30
63,284.23,2024-08-31,15:45
64,219.23,2024-08-31,16:00
65,203.7,2024-08-31,16:15
66,40.0,2024-08-31,16:30
67,40.0,2024-08-31,16:45
68,40.0,2024-08-31,17:00
69,40.0,2024-08-31,17:15
70,40.0,2024-08-31,17:30
71,360.0,2024-08-31,17:45
72,360.0,2024-08-31,18:00
73,600.0,2024-08-31,18:15
74,600.0,2024-08-31,18:30
75,600.0,2024-08-31,18:45
76,500.0,2024-08-31,19:00
77,390.0,2024-08-31,19:15
78,320.0,2024-08-31,19:30
79,500.0,2024-08-31,19:45
80,600.0,2024-08-31,20:00
81,600.0,2024-08-31,20:15
82,600.0,2024-08-31,20:30
83,600.0,2024-08-31,20:45
84,600.0,2024-08-31,21:00
85,600.0,2024-08-31,21:15
86,600.0,2024-08-31,21:30
