,gen_ahead_publish,dg_ahead_publish,ne_ahead_publish,load_ahead_publish,wind_ahead_publish,pv_ahead_publish,hydro_ahead_publish,tieline_ahead_publish,jingjiakongjian,sdsurplus,temperature_620000,temperature_620001,temperature_620002,pressure_620000,pressure_620001,pressure_620002,solartotal_620000,solartotal_620001,solartotal_620002,totalcloud_620000,totalcloud_620001,totalcloud_620002,humidity_620000,humidity_620001,humidity_620002,windspeed_620000,windspeed_620001,windspeed_620002,winddirection_620000,winddirection_620001,winddirection_620002,rainfall_620000,rainfall_620001,rainfall_620002,feeltemp_620000,feeltemp_620001,feeltemp_620002,time_order,slot,info_date,info_hour
0,28104.93,10117.0,5448.49,20608.0,6376.34,1.0,2036.0,6053.0,9059.510000000002,1443.9300000000003,-5.596552,-4.547761,-9.11,810.312644,807.955224,818.21,0.0,0.0,0.0,0.258793,0.06809,0.89765,0.483322,0.48891,0.4646,2.332761,2.408237,2.098347,196.17931,192.016418,210.125,0.0,0.0,0.0,-8.897701,-7.640299,-13.11,0,1,2025-01-01,00:15
1,27928.9,10049.3,5272.46,20461.0,6218.52,1.0,2036.0,6053.0,9156.240000000002,1414.9000000000015,-5.596552,-4.547761,-9.11,810.312644,807.955224,818.21,0.0,0.0,0.0,0.258793,0.06809,0.89765,0.483322,0.48891,0.4646,2.332761,2.408237,2.098347,196.17931,192.016418,210.125,0.0,0.0,0.0,-8.897701,-7.640299,-13.11,1,1,2025-01-01,00:30
2,27766.89,9984.67,5110.45,20370.0,6062.56,1.0,2036.0,6053.0,9291.88,1343.8899999999994,-5.596552,-4.547761,-9.11,810.312644,807.955224,818.21,0.0,0.0,0.0,0.258793,0.06809,0.89765,0.483322,0.48891,0.4646,2.332761,2.408237,2.098347,196.17931,192.016418,210.125,0.0,0.0,0.0,-8.897701,-7.640299,-13.11,2,1,2025-01-01,00:45
3,27609.37,9924.51,4952.93,20278.0,5921.8,1.0,2036.0,6053.0,9417.56,1278.369999999999,-5.596552,-4.547761,-9.11,810.312644,807.955224,818.21,0.0,0.0,0.0,0.258793,0.06809,0.89765,0.483322,0.48891,0.4646,2.332761,2.408237,2.098347,196.17931,192.016418,210.125,0.0,0.0,0.0,-8.897701,-7.640299,-13.11,3,1,2025-01-01,01:00
4,27460.21,9866.27,4803.77,20125.0,5786.68,1.0,2036.0,6055.0,9473.96,1280.2099999999991,-6.002299,-4.997015,-9.37,810.508046,808.225373,818.155,0.0,0.0,0.0,0.264897,0.088955,0.8543,0.492161,0.498299,0.4716,2.175632,2.197962,2.106283,212.041379,211.213433,214.815,0.0,0.0,0.0,-9.452874,-7.932836,-14.545,4,1,2025-01-01,01:15
5,27324.53,9808.48,4668.09,20014.0,5644.88,1.0,2036.0,6055.0,9556.43,1255.5299999999988,-6.002299,-4.997015,-9.37,810.508046,808.225373,818.155,0.0,0.0,0.0,0.264897,0.088955,0.8543,0.492161,0.498299,0.4716,2.175632,2.197962,2.106283,212.041379,211.213433,214.815,0.0,0.0,0.0,-9.452874,-7.932836,-14.545,5,1,2025-01-01,01:30
6,27190.56,9753.0,4534.12,19973.0,5505.81,1.0,2036.0,6055.0,9704.880000000001,1162.5600000000013,-6.002299,-4.997015,-9.37,810.508046,808.225373,818.155,0.0,0.0,0.0,0.264897,0.088955,0.8543,0.492161,0.498299,0.4716,2.175632,2.197962,2.106283,212.041379,211.213433,214.815,0.0,0.0,0.0,-9.452874,-7.932836,-14.545,6,1,2025-01-01,01:45
7,27055.37,9699.6,4398.93,19973.0,5372.93,1.0,2036.0,6055.0,9893.47,1027.369999999999,-6.002299,-4.997015,-9.37,810.508046,808.225373,818.155,0.0,0.0,0.0,0.264897,0.088955,0.8543,0.492161,0.498299,0.4716,2.175632,2.197962,2.106283,212.041379,211.213433,214.815,0.0,0.0,0.0,-9.452874,-7.932836,-14.545,7,1,2025-01-01,02:00
8,26933.88,9648.5,4277.44,19952.0,5233.53,1.0,2036.0,6056.0,10046.060000000001,925.880000000001,-6.355172,-5.373134,-9.645,810.486207,808.283582,817.865,0.0,0.0,0.0,0.269368,0.09803,0.84335,0.498632,0.505254,0.47645,2.423416,2.535547,2.075164,218.186207,216.001493,225.505,0.0,0.0,0.0,-9.647126,-8.135821,-14.71,8,1,2025-01-01,02:15
9,26810.65,9599.56,4154.21,19942.0,5096.68,1.0,2036.0,6056.0,10208.230000000001,812.6500000000015,-6.355172,-5.373134,-9.645,810.486207,808.283582,817.865,0.0,0.0,0.0,0.269368,0.09803,0.84335,0.498632,0.505254,0.47645,2.423416,2.535547,2.075164,218.186207,216.001493,225.505,0.0,0.0,0.0,-9.647126,-8.135821,-14.71,9,1,2025-01-01,02:30
10,26682.23,9551.62,4025.79,20003.0,4942.64,1.0,2036.0,6056.0,10445.589999999998,623.2299999999996,-6.355172,-5.373134,-9.645,810.486207,808.283582,817.865,0.0,0.0,0.0,0.269368,0.09803,0.84335,0.498632,0.505254,0.47645,2.423416,2.535547,2.075164,218.186207,216.001493,225.505,0.0,0.0,0.0,-9.647126,-8.135821,-14.71,10,1,2025-01-01,02:45
11,25855.59,8794.27,3911.17,19963.0,4806.39,1.0,2036.0,5056.0,10277.560000000001,836.5900000000001,-6.355172,-5.373134,-9.645,810.486207,808.283582,817.865,0.0,0.0,0.0,0.269368,0.09803,0.84335,0.498632,0.505254,0.47645,2.423416,2.535547,2.075164,218.186207,216.001493,225.505,0.0,0.0,0.0,-9.647126,-8.135821,-14.71,11,1,2025-01-01,03:00
12,25748.48,8752.83,3804.07,19963.0,4668.26,1.0,2036.0,5056.0,10426.1,729.4799999999996,-6.641379,-5.701493,-9.79,810.535632,808.380597,817.755,0.0,0.0,0.0,0.280609,0.138075,0.7581,0.501862,0.509881,0.475,2.623492,2.839813,1.951649,207.288506,203.808955,218.945,0.0,0.0,0.0,-9.513793,-8.170149,-14.015,12,1,2025-01-01,03:15
13,25643.46,8715.25,3699.05,20120.0,4541.96,1.0,2036.0,5056.0,10725.7,467.4599999999991,-6.641379,-5.701493,-9.79,810.535632,808.380597,817.755,0.0,0.0,0.0,0.280609,0.138075,0.7581,0.501862,0.509881,0.475,2.623492,2.839813,1.951649,207.288506,203.808955,218.945,0.0,0.0,0.0,-9.513793,-8.170149,-14.015,13,1,2025-01-01,03:30
14,25541.59,8677.25,3597.17,20120.0,4424.28,1.0,2036.0,5056.0,10865.580000000002,365.59000000000015,-6.641379,-5.701493,-9.79,810.535632,808.380597,817.755,0.0,0.0,0.0,0.280609,0.138075,0.7581,0.501862,0.509881,0.475,2.623492,2.839813,1.951649,207.288506,203.808955,218.945,0.0,0.0,0.0,-9.513793,-8.170149,-14.015,14,1,2025-01-01,03:45
15,25441.45,8640.69,3497.04,20127.0,4318.41,1.0,2036.0,5056.0,11009.269999999999,258.4500000000007,-6.641379,-5.701493,-9.79,810.535632,808.380597,817.755,0.0,0.0,0.0,0.280609,0.138075,0.7581,0.501862,0.509881,0.475,2.623492,2.839813,1.951649,207.288506,203.808955,218.945,0.0,0.0,0.0,-9.513793,-8.170149,-14.015,15,1,2025-01-01,04:00
16,25350.16,8603.6,3405.75,19993.0,4204.8,1.0,2036.0,5056.0,11003.65,301.15999999999985,-6.898851,-6.043284,-9.765,810.596552,808.416418,817.9,0.0,0.0,0.0,0.340828,0.230104,0.71175,0.504851,0.515119,0.47045,2.495157,2.711119,1.824427,238.029885,242.644776,222.57,0.0,0.0,0.0,-9.302299,-8.185075,-13.045,16,1,2025-01-01,04:15
17,25282.24,8569.11,3337.83,19902.0,4100.73,1.0,2036.0,5056.0,11015.059999999998,324.2400000000016,-6.898851,-6.043284,-9.765,810.596552,808.416418,817.9,0.0,0.0,0.0,0.340828,0.230104,0.71175,0.504851,0.515119,0.47045,2.495157,2.711119,1.824427,238.029885,242.644776,222.57,0.0,0.0,0.0,-9.302299,-8.185075,-13.045,17,1,2025-01-01,04:30
18,25366.36,8635.37,3271.95,19942.0,4003.49,1.0,2186.0,5056.0,10904.679999999998,368.3600000000006,-6.898851,-6.043284,-9.765,810.596552,808.416418,817.9,0.0,0.0,0.0,0.340828,0.230104,0.71175,0.504851,0.515119,0.47045,2.495157,2.711119,1.824427,238.029885,242.644776,222.57,0.0,0.0,0.0,-9.302299,-8.185075,-13.045,18,1,2025-01-01,04:45
