,price_diff,price_real_clear,price_ahead_clear,info_date,info_hour
1,11.810000000000002,352.52,340.71,2025-01-01,00:15
2,2.409999999999968,343.13,340.72,2025-01-01,00:30
3,59.56999999999999,400.29,340.72,2025-01-01,00:45
4,65.79999999999995,406.53,340.73,2025-01-01,01:00
5,80.30000000000001,421.04,340.74,2025-01-01,01:15
6,64.28999999999996,405.03,340.74,2025-01-01,01:30
7,51.03000000000003,401.73,350.7,2025-01-01,01:45
8,54.079999999999984,404.78,350.7,2025-01-01,02:00
9,53.55000000000001,414.2,360.65,2025-01-01,02:15
10,46.68000000000001,417.29,370.61,2025-01-01,02:30
11,59.97999999999996,420.64,360.66,2025-01-01,02:45
12,47.879999999999995,418.49,370.61,2025-01-01,03:00
13,9.170000000000016,399.69,390.52,2025-01-01,03:15
14,19.349999999999966,419.82,400.47,2025-01-01,03:30
15,82.75,473.28,390.53,2025-01-01,03:45
16,81.54000000000002,472.07,390.53,2025-01-01,04:00
17,82.38000000000005,472.91,390.53,2025-01-01,04:15
18,73.0,473.48,400.48,2025-01-01,04:30
19,82.71999999999997,483.2,400.48,2025-01-01,04:45
20,115.25,515.74,400.49,2025-01-01,05:00
21,116.09000000000003,516.82,400.73,2025-01-01,05:15
22,110.32999999999998,511.06,400.73,2025-01-01,05:30
23,110.62,510.62,400.0,2025-01-01,05:45
24,83.75999999999999,483.76,400.0,2025-01-01,06:00
25,55.660000000000025,505.66,450.0,2025-01-01,06:15
26,27.75999999999999,477.76,450.0,2025-01-01,06:30
27,37.55000000000001,477.55,440.0,2025-01-01,06:45
28,-9.579999999999984,430.42,440.0,2025-01-01,07:00
29,-9.620000000000005,430.38,440.0,2025-01-01,07:15
30,-28.55000000000001,411.45,440.0,2025-01-01,07:30
31,-55.889999999999986,384.11,440.0,2025-01-01,07:45
32,-56.00999999999999,383.99,440.0,2025-01-01,08:00
33,-9.910000000000025,430.09,440.0,2025-01-01,08:15
34,-19.950000000000045,430.34,450.29,2025-01-01,08:30
35,0.0,450.0,450.0,2025-01-01,08:45
36,-0.45999999999997954,449.99,450.45,2025-01-01,09:00
37,-15.240000000000009,385.64,400.88,2025-01-01,09:15
38,42.35000000000002,433.25,390.9,2025-01-01,09:30
39,27.129999999999995,387.92,360.79,2025-01-01,09:45
40,19.840000000000032,360.67,340.83,2025-01-01,10:00
41,9.300000000000011,219.97,210.67,2025-01-01,10:15
42,9.27000000000001,209.96,200.69,2025-01-01,10:30
43,119.02000000000001,199.96,80.94,2025-01-01,10:45
44,139.0,199.96,60.96,2025-01-01,11:00
45,59.27,119.98,60.71,2025-01-01,11:15
46,-20.700000000000003,40.0,60.7,2025-01-01,11:30
47,129.28,189.96,60.68,2025-01-01,11:45
48,-5.649999999999999,40.1,45.75,2025-01-01,12:00
49,149.25,189.96,40.71,2025-01-01,12:15
50,39.279999999999994,79.99,40.71,2025-01-01,12:30
51,-0.7199999999999989,40.0,40.72,2025-01-01,12:45
52,-0.7199999999999989,40.0,40.72,2025-01-01,13:00
53,-0.7199999999999989,40.0,40.72,2025-01-01,13:15
54,-0.7199999999999989,40.0,40.72,2025-01-01,13:30
55,-0.7199999999999989,40.0,40.72,2025-01-01,13:45
56,-0.7199999999999989,40.0,40.72,2025-01-01,14:00
57,-0.740000000000002,40.0,40.74,2025-01-01,14:15
58,149.25,189.96,40.71,2025-01-01,14:30
59,154.47,199.96,45.49,2025-01-01,14:45
60,139.28,199.97,60.69,2025-01-01,15:00
61,105.49000000000001,199.96,94.47,2025-01-01,15:15
62,9.580000000000013,209.97,200.39,2025-01-01,15:30
63,4.490000000000009,219.97,215.48,2025-01-01,15:45
64,83.0,332.8,249.8,2025-01-01,16:00
65,175.64999999999998,477.64,301.99,2025-01-01,16:15
66,-20.189999999999998,369.99,390.18,2025-01-01,16:30
67,29.75999999999999,399.99,370.23,2025-01-01,16:45
68,19.689999999999998,369.99,350.3,2025-01-01,17:00
69,-60.18000000000001,389.99,450.17,2025-01-01,17:15
70,-40.04000000000002,450.0,490.04,2025-01-01,17:30
71,9.899999999999977,500.0,490.1,2025-01-01,17:45
72,50.0,540.0,490.0,2025-01-01,18:00
73,10.0,500.0,490.0,2025-01-01,18:15
74,10.0,500.0,490.0,2025-01-01,18:30
75,-40.0,450.0,490.0,2025-01-01,18:45
76,-40.0,450.0,490.0,2025-01-01,19:00
77,-40.0,450.0,490.0,2025-01-01,19:15
78,-40.0,450.0,490.0,2025-01-01,19:30
79,-40.0,450.0,490.0,2025-01-01,19:45
80,-40.0,450.0,490.0,2025-01-01,20:00
81,-40.0,450.0,490.0,2025-01-01,20:15
82,-40.0,450.0,490.0,2025-01-01,20:30
83,10.0,500.0,490.0,2025-01-01,20:45
84,10.0,500.0,490.0,2025-01-01,21:00
85,-40.0,450.0,490.0,2025-01-01,21:15
86,-40.0,450.0,490.0,2025-01-01,21:30
87,-90.07999999999998,400.0,490.08,2025-01-01,21:45
88,-270.08,220.0,490.08,2025-01-01,22:00
89,-290.05,200.0,490.05,2025-01-01,22:15
90,-290.05,200.0,490.05,2025-01-01,22:30
91,-290.05,200.0,490.05,2025-01-01,22:45
92,-290.05,200.0,490.05,2025-01-01,23:00
93,-290.05,200.0,490.05,2025-01-01,23:15
94,-290.05,200.0,490.05,2025-01-01,23:30
95,-290.05,200.0,490.05,2025-01-01,23:45
96,-290.05,200.0,490.05,2025-01-01,24:00
97,268.02,320.0,51.98,2025-01-02,00:15
98,108.58000000000001,320.0,211.42,2025-01-02,00:30
99,9.110000000000014,330.0,320.89,2025-01-02,00:45
100,-10.839999999999975,320.0,330.84,2025-01-02,01:00
101,-10.829999999999984,320.0,330.83,2025-01-02,01:15
102,-10.819999999999993,320.0,330.82,2025-01-02,01:30
103,-20.769999999999982,320.0,340.77,2025-01-02,01:45
104,-10.759999999999991,330.0,340.76,2025-01-02,02:00
105,-13.240000000000009,327.52,340.76,2025-01-02,02:15
106,-5.670000000000016,335.08,340.75,2025-01-02,02:30
107,-13.29000000000002,327.46,340.75,2025-01-02,02:45
108,-13.029999999999973,327.72,340.75,2025-01-02,03:00
109,-5.4599999999999795,335.29,340.75,2025-01-02,03:15
110,59.25,400.0,340.75,2025-01-02,03:30
111,109.25,450.0,340.75,2025-01-02,03:45
112,29.24000000000001,370.0,340.76,2025-01-02,04:00
113,-0.75,340.0,340.75,2025-01-02,04:15
114,3.5500000000000114,340.0,336.45,2025-01-02,04:30
115,9.199999999999989,340.0,330.8,2025-01-02,04:45
116,-0.8100000000000023,330.0,330.81,2025-01-02,05:00
117,-1.2699999999999818,320.0,321.27,2025-01-02,05:15
118,8.730000000000018,330.0,321.27,2025-01-02,05:30
119,10.0,330.0,320.0,2025-01-02,05:45
120,-30.189999999999998,289.81,320.0,2025-01-02,06:00
121,-24.210000000000036,271.9,296.11,2025-01-02,06:15
122,29.349999999999966,334.33,304.98,2025-01-02,06:30
123,26.970000000000027,340.0,313.03,2025-01-02,06:45
124,84.31,420.0,335.69,2025-01-02,07:00
125,93.98000000000002,400.0,306.02,2025-01-02,07:15
126,108.37,430.0,321.63,2025-01-02,07:30
127,50.0,370.0,320.0,2025-01-02,07:45
128,59.52999999999997,350.0,290.47,2025-01-02,08:00
129,41.23000000000002,330.0,288.77,2025-01-02,08:15
130,48.75999999999999,340.0,291.24,2025-01-02,08:30
131,67.87,360.0,292.13,2025-01-02,08:45
132,67.19999999999999,359.99,292.79,2025-01-02,09:00
133,137.63,349.99,212.36,2025-01-02,09:15
134,133.98000000000002,339.98,206.0,2025-01-02,09:30
135,35.400000000000006,207.72,172.32,2025-01-02,09:45
136,-109.38999999999999,40.0,149.39,2025-01-02,10:00
137,-17.32,40.0,57.32,2025-01-02,10:15
138,-11.600000000000001,40.0,51.6,2025-01-02,10:30
139,-11.600000000000001,40.0,51.6,2025-01-02,10:45
140,29.32,81.0,51.68,2025-01-02,11:00
141,-10.89,40.4,51.29,2025-01-02,11:15
142,-10.950000000000003,40.37,51.32,2025-01-02,11:30
143,-11.32,40.0,51.32,2025-01-02,11:45
144,-11.369999999999997,40.0,51.37,2025-01-02,12:00
145,-11.649999999999999,40.0,51.65,2025-01-02,12:15
146,-11.670000000000002,40.0,51.67,2025-01-02,12:30
147,-6.240000000000002,40.0,46.24,2025-01-02,12:45
148,-11.600000000000001,40.0,51.6,2025-01-02,13:00
149,-6.219999999999999,40.0,46.22,2025-01-02,13:15
150,-6.170000000000002,40.0,46.17,2025-01-02,13:30
151,-5.730000000000004,40.44,46.17,2025-01-02,13:45
152,-6.119999999999997,40.0,46.12,2025-01-02,14:00
153,-11.079999999999998,40.0,51.08,2025-01-02,14:15
154,-11.119999999999997,40.0,51.12,2025-01-02,14:30
155,141.78,192.91,51.13,2025-01-02,14:45
156,210.5,261.61,51.11,2025-01-02,15:00
157,145.55,264.91,119.36,2025-01-02,15:15
158,191.35999999999999,310.64,119.28,2025-01-02,15:30
159,167.52,362.98,195.46,2025-01-02,15:45
160,187.58000000000004,382.72,195.14,2025-01-02,16:00
161,138.67,368.69,230.02,2025-01-02,16:15
162,54.94,355.62,300.68,2025-01-02,16:30
163,11.009999999999991,411.57,400.56,2025-01-02,16:45
164,-77.43,312.78,390.21,2025-01-02,17:00
165,-69.69,370.51,440.2,2025-01-02,17:15
166,-45.05000000000001,405.13,450.18,2025-01-02,17:30
167,-37.04000000000002,412.96,450.0,2025-01-02,17:45
168,24.410000000000025,464.41,440.0,2025-01-02,18:00
169,60.0,500.0,440.0,2025-01-02,18:15
170,10.0,450.0,440.0,2025-01-02,18:30
171,10.0,450.0,440.0,2025-01-02,18:45
172,60.0,500.0,440.0,2025-01-02,19:00
173,90.0,530.0,440.0,2025-01-02,19:15
174,60.0,500.0,440.0,2025-01-02,19:30
175,60.0,500.0,440.0,2025-01-02,19:45
176,60.0,500.0,440.0,2025-01-02,20:00
177,90.0,530.0,440.0,2025-01-02,20:15
178,110.0,550.0,440.0,2025-01-02,20:30
179,160.0,600.0,440.0,2025-01-02,20:45
180,160.0,600.0,440.0,2025-01-02,21:00
181,200.0,600.0,400.0,2025-01-02,21:15
182,200.0,600.0,400.0,2025-01-02,21:30
183,199.17000000000002,600.0,400.83,2025-01-02,21:45
184,49.170000000000016,450.0,400.83,2025-01-02,22:00
185,9.420000000000016,400.0,390.58,2025-01-02,22:15
186,49.420000000000016,440.0,390.58,2025-01-02,22:30
187,39.420000000000016,430.0,390.58,2025-01-02,22:45
188,29.410000000000025,420.0,390.59,2025-01-02,23:00
189,9.410000000000025,400.0,390.59,2025-01-02,23:15
190,49.47000000000003,450.0,400.53,2025-01-02,23:30
191,-0.5400000000000205,400.0,400.54,2025-01-02,23:45
192,49.45999999999998,450.0,400.54,2025-01-02,24:00
193,-40.05000000000001,450.0,490.05,2025-01-03,00:15
194,-70.0,430.0,500.0,2025-01-03,00:30
195,-50.0,450.0,500.0,2025-01-03,00:45
196,0.0,500.0,500.0,2025-01-03,01:00
197,0.0,500.0,500.0,2025-01-03,01:15
198,0.0,500.0,500.0,2025-01-03,01:30
199,0.0,500.0,500.0,2025-01-03,01:45
200,0.0,500.0,500.0,2025-01-03,02:00
201,0.0,500.0,500.0,2025-01-03,02:15
202,0.0,500.0,500.0,2025-01-03,02:30
203,0.0,500.0,500.0,2025-01-03,02:45
204,30.0,530.0,500.0,2025-01-03,03:00
205,0.0,500.0,500.0,2025-01-03,03:15
206,100.0,600.0,500.0,2025-01-03,03:30
207,100.0,600.0,500.0,2025-01-03,03:45
208,100.0,600.0,500.0,2025-01-03,04:00
209,90.0,590.0,500.0,2025-01-03,04:15
210,90.0,590.0,500.0,2025-01-03,04:30
211,100.0,600.0,500.0,2025-01-03,04:45
212,109.94999999999999,600.0,490.05,2025-01-03,05:00
213,109.92000000000002,600.0,490.08,2025-01-03,05:15
214,90.0,590.0,500.0,2025-01-03,05:30
215,100.0,600.0,500.0,2025-01-03,05:45
216,100.0,600.0,500.0,2025-01-03,06:00
217,30.0,530.0,500.0,2025-01-03,06:15
218,30.0,530.0,500.0,2025-01-03,06:30
219,-50.0,450.0,500.0,2025-01-03,06:45
220,-150.0,350.0,500.0,2025-01-03,07:00
221,-120.10000000000002,370.0,490.1,2025-01-03,07:15
222,-140.0,350.0,490.0,2025-01-03,07:30
223,-140.10000000000002,350.0,490.1,2025-01-03,07:45
224,-150.0,350.0,500.0,2025-01-03,08:00
225,-160.0,340.0,500.0,2025-01-03,08:15
226,-100.0,400.0,500.0,2025-01-03,08:30
227,-40.0,450.0,490.0,2025-01-03,08:45
228,-70.00999999999999,419.99,490.0,2025-01-03,09:00
229,149.98000000000002,599.98,450.0,2025-01-03,09:15
230,89.98000000000002,529.98,440.0,2025-01-03,09:30
231,59.599999999999966,499.96,440.36,2025-01-03,09:45
232,69.62,509.95,440.33,2025-01-03,10:00
233,139.46999999999997,449.94,310.47,2025-01-03,10:15
234,119.41000000000003,449.8,330.39,2025-01-03,10:30
235,126.13,346.74,220.61,2025-01-03,10:45
236,27.55000000000001,218.22,190.67,2025-01-03,11:00
237,45.360000000000014,185.93,140.57,2025-01-03,11:15
238,5.700000000000003,76.36,70.66,2025-01-03,11:30
239,-13.79,40.0,53.79,2025-01-03,11:45
240,239.51999999999998,306.78,67.26,2025-01-03,12:00
241,147.75,215.12,67.37,2025-01-03,12:15
242,170.82999999999998,224.92,54.09,2025-01-03,12:30
243,161.22,215.51,54.29,2025-01-03,12:45
244,152.21,206.53,54.32,2025-01-03,13:00
245,-9.810000000000002,40.0,49.81,2025-01-03,13:15
246,-9.86,40.0,49.86,2025-01-03,13:30
247,-9.880000000000003,40.0,49.88,2025-01-03,13:45
248,-9.89,40.0,49.89,2025-01-03,14:00
249,132.58,187.11,54.53,2025-01-03,14:15
250,132.2,186.89,54.69,2025-01-03,14:30
251,118.19000000000001,186.9,68.71,2025-01-03,14:45
252,-47.53,40.0,87.53,2025-01-03,15:00
253,137.53000000000003,252.36,114.83,2025-01-03,15:15
254,155.38000000000002,299.97,144.59,2025-01-03,15:30
255,163.82,359.44,195.62,2025-01-03,15:45
256,146.32000000000002,347.74,201.42,2025-01-03,16:00
257,100.10999999999999,346.46,246.35,2025-01-03,16:15
258,159.14999999999998,403.89,244.74,2025-01-03,16:30
259,155.38,419.98,264.6,2025-01-03,16:45
260,78.03999999999996,407.71,329.67,2025-01-03,17:00
261,115.04000000000002,427.81,312.77,2025-01-03,17:15
262,7.300000000000011,347.86,340.56,2025-01-03,17:30
263,69.74000000000001,409.74,340.0,2025-01-03,17:45
264,130.97000000000003,460.97,330.0,2025-01-03,18:00
265,99.44,439.44,340.0,2025-01-03,18:15
266,170.0,500.0,330.0,2025-01-03,18:30
267,67.24000000000001,387.24,320.0,2025-01-03,18:45
268,48.45999999999998,348.46,300.0,2025-01-03,19:00
269,84.61000000000001,384.61,300.0,2025-01-03,19:15
270,157.51,357.51,200.0,2025-01-03,19:30
271,157.3,357.3,200.0,2025-01-03,19:45
272,260.0,450.0,190.0,2025-01-03,20:00
273,216.66000000000003,356.66,140.0,2025-01-03,20:15
274,156.01999999999998,296.02,140.0,2025-01-03,20:30
275,189.54000000000002,329.54,140.0,2025-01-03,20:45
276,256.84,396.84,140.0,2025-01-03,21:00
277,310.0,450.0,140.0,2025-01-03,21:15
278,322.04,444.72,122.68,2025-01-03,21:30
279,309.07,435.28,126.21,2025-01-03,21:45
280,317.08,442.2,125.12,2025-01-03,22:00
281,195.48000000000002,278.68,83.2,2025-01-03,22:15
282,201.72999999999996,284.96,83.23,2025-01-03,22:30
283,257.39,340.78,83.39,2025-01-03,22:45
284,303.87,387.48,83.61,2025-01-03,23:00
285,254.87,338.61,83.74,2025-01-03,23:15
286,247.07999999999998,329.31,82.23,2025-01-03,23:30
287,238.92999999999998,321.28,82.35,2025-01-03,23:45
288,244.16,310.57,66.41,2025-01-03,24:00
289,141.98000000000002,358.04,216.06,2025-01-04,00:15
290,175.00999999999996,359.09,184.08,2025-01-04,00:30
291,147.48,350.83,203.35,2025-01-04,00:45
292,165.83999999999997,350.21,184.37,2025-01-04,01:00
293,216.01000000000002,352.48,136.47,2025-01-04,01:15
294,304.03999999999996,429.21,125.17,2025-01-04,01:30
295,302.27,421.21,118.94,2025-01-04,01:45
296,208.69,320.77,112.08,2025-01-04,02:00
297,257.57,369.76,112.19,2025-01-04,02:15
298,215.32,327.51,112.19,2025-01-04,02:30
299,215.98000000000002,328.93,112.95,2025-01-04,02:45
300,260.36,373.63,113.27,2025-01-04,03:00
301,239.61,352.74,113.13,2025-01-04,03:15
302,228.69,342.15,113.46,2025-01-04,03:30
303,221.36,335.18,113.82,2025-01-04,03:45
304,218.83,332.49,113.66,2025-01-04,04:00
305,271.37,384.93,113.56,2025-01-04,04:15
306,267.39000000000004,380.91,113.52,2025-01-04,04:30
307,257.39,371.86,114.47,2025-01-04,04:45
308,231.25,331.21,99.96,2025-01-04,05:00
309,199.51,316.43,116.92,2025-01-04,05:15
310,68.54,184.81,116.27,2025-01-04,05:30
311,100.6,217.88,117.28,2025-01-04,05:45
312,90.08999999999999,206.04,115.95,2025-01-04,06:00
313,-21.92,40.0,61.92,2025-01-04,06:15
314,-14.399999999999999,40.0,54.4,2025-01-04,06:30
315,-21.14,40.0,61.14,2025-01-04,06:45
316,278.12,339.01,60.89,2025-01-04,07:00
317,256.67,320.22,63.55,2025-01-04,07:15
318,257.08000000000004,320.49,63.41,2025-01-04,07:30
319,203.81999999999996,267.09,63.27,2025-01-04,07:45
320,90.79,189.09,98.3,2025-01-04,08:00
321,92.14,189.66,97.52,2025-01-04,08:15
322,204.5,302.02,97.52,2025-01-04,08:30
323,205.43999999999997,302.34,96.9,2025-01-04,08:45
324,-56.480000000000004,40.0,96.48,2025-01-04,09:00
325,-24.89,40.0,64.89,2025-01-04,09:15
326,-19.32,40.0,59.32,2025-01-04,09:30
327,-23.560000000000002,40.0,63.56,2025-01-04,09:45
328,-23.509999999999998,40.09,63.6,2025-01-04,10:00
329,-11.5,40.09,51.59,2025-01-04,10:15
330,-11.64,40.0,51.64,2025-01-04,10:30
331,117.34,169.07,51.73,2025-01-04,10:45
332,-6.359999999999999,40.0,46.36,2025-01-04,11:00
333,-6.060000000000002,40.0,46.06,2025-01-04,11:15
334,-0.7000000000000028,40.0,40.7,2025-01-04,11:30
335,-0.6099999999999994,40.08,40.69,2025-01-04,11:45
336,-0.6099999999999994,40.08,40.69,2025-01-04,12:00
337,-0.6899999999999977,40.0,40.69,2025-01-04,12:15
338,-0.6899999999999977,40.0,40.69,2025-01-04,12:30
339,-0.6899999999999977,40.0,40.69,2025-01-04,12:45
340,-0.7000000000000028,40.0,40.7,2025-01-04,13:00
341,-0.28000000000000114,40.42,40.7,2025-01-04,13:15
342,-0.7000000000000028,40.0,40.7,2025-01-04,13:30
343,-0.7100000000000009,40.0,40.71,2025-01-04,13:45
344,-0.7100000000000009,40.0,40.71,2025-01-04,14:00
345,-0.3200000000000003,40.41,40.73,2025-01-04,14:15
346,-0.740000000000002,40.0,40.74,2025-01-04,14:30
347,134.15,180.05,45.9,2025-01-04,14:45
348,161.94,212.98,51.04,2025-01-04,15:00
349,153.68,214.75,61.07,2025-01-04,15:15
350,174.06,265.27,91.21,2025-01-04,15:30
351,165.07,235.44,70.37,2025-01-04,15:45
352,110.57000000000002,170.86,60.29,2025-01-04,16:00
353,111.11999999999999,166.2,55.08,2025-01-04,16:15
354,-17.0,40.0,57.0,2025-01-04,16:30
355,-16.64,40.0,56.64,2025-01-04,16:45
356,267.87,339.98,72.11,2025-01-04,17:00
357,93.96000000000004,384.61,290.65,2025-01-04,17:15
358,32.59000000000003,373.12,340.53,2025-01-04,17:30
359,41.23000000000002,381.23,340.0,2025-01-04,17:45
360,78.98000000000002,418.98,340.0,2025-01-04,18:00
361,59.5,399.5,340.0,2025-01-04,18:15
362,30.0,370.0,340.0,2025-01-04,18:30
363,60.0,400.0,340.0,2025-01-04,18:45
364,110.0,450.0,340.0,2025-01-04,19:00
365,110.0,450.0,340.0,2025-01-04,19:15
366,160.0,500.0,340.0,2025-01-04,19:30
367,160.0,500.0,340.0,2025-01-04,19:45
368,160.0,500.0,340.0,2025-01-04,20:00
369,180.0,530.0,350.0,2025-01-04,20:15
370,150.0,500.0,350.0,2025-01-04,20:30
371,150.0,500.0,350.0,2025-01-04,20:45
372,240.0,590.0,350.0,2025-01-04,21:00
373,240.0,590.0,350.0,2025-01-04,21:15
374,240.0,590.0,350.0,2025-01-04,21:30
375,178.8,530.0,351.2,2025-01-04,21:45
376,98.80000000000001,450.0,351.2,2025-01-04,22:00
377,69.12,400.0,330.88,2025-01-04,22:15
378,99.12,430.0,330.88,2025-01-04,22:30
379,99.12,430.0,330.88,2025-01-04,22:45
380,69.12,400.0,330.88,2025-01-04,23:00
381,49.25,400.0,350.75,2025-01-04,23:15
382,19.25,370.0,350.75,2025-01-04,23:30
383,59.30000000000001,420.0,360.7,2025-01-04,23:45
384,39.30000000000001,400.0,360.7,2025-01-04,24:00
385,-40.26999999999998,400.0,440.27,2025-01-05,00:15
386,-50.23000000000002,400.0,450.23,2025-01-05,00:30
387,9.949999999999989,500.0,490.05,2025-01-05,00:45
388,19.910000000000025,500.0,480.09,2025-01-05,01:00
389,49.76999999999998,500.0,450.23,2025-01-05,01:15
390,49.76999999999998,500.0,450.23,2025-01-05,01:30
391,49.75999999999999,500.0,450.24,2025-01-05,01:45
392,49.75999999999999,500.0,450.24,2025-01-05,02:00
393,49.75999999999999,500.0,450.24,2025-01-05,02:15
394,49.75999999999999,500.0,450.24,2025-01-05,02:30
395,49.75999999999999,500.0,450.24,2025-01-05,02:45
396,49.75999999999999,500.0,450.24,2025-01-05,03:00
397,49.75999999999999,500.0,450.24,2025-01-05,03:15
398,49.75999999999999,500.0,450.24,2025-01-05,03:30
399,-0.2400000000000091,450.0,450.24,2025-01-05,03:45
400,-0.2400000000000091,450.0,450.24,2025-01-05,04:00
401,-0.2300000000000182,450.0,450.23,2025-01-05,04:15
402,39.75999999999999,490.0,450.24,2025-01-05,04:30
403,39.76999999999998,490.0,450.23,2025-01-05,04:45
404,-0.2300000000000182,450.0,450.23,2025-01-05,05:00
405,-30.139999999999986,450.0,480.14,2025-01-05,05:15
406,-0.06999999999999318,490.0,490.07,2025-01-05,05:30
407,3.0,500.0,497.0,2025-01-05,05:45
408,0.0,500.0,500.0,2025-01-05,06:00
409,59.44,500.0,440.56,2025-01-05,06:15
410,89.44,530.0,440.56,2025-01-05,06:30
411,59.44,500.0,440.56,2025-01-05,06:45
412,59.44,500.0,440.56,2025-01-05,07:00
413,49.44,490.0,440.56,2025-01-05,07:15
414,9.439999999999998,450.0,440.56,2025-01-05,07:30
415,49.44,490.0,440.56,2025-01-05,07:45
416,49.44,490.0,440.56,2025-01-05,08:00
417,149.45,590.0,440.55,2025-01-05,08:15
418,144.5,590.0,445.5,2025-01-05,08:30
419,109.47000000000003,550.0,440.53,2025-01-05,08:45
420,59.48000000000002,499.99,440.51,2025-01-05,09:00
421,109.10000000000002,499.98,390.88,2025-01-05,09:15
422,68.77999999999997,459.57,390.79,2025-01-05,09:30
423,-13.810000000000002,376.73,390.54,2025-01-05,09:45
424,55.129999999999995,320.99,265.86,2025-01-05,10:00
425,129.74,218.73,88.99,2025-01-05,10:15
426,101.04999999999998,190.45,89.4,2025-01-05,10:30
427,-30.58,40.0,70.58,2025-01-05,10:45
428,-15.990000000000002,40.0,55.99,2025-01-05,11:00
429,-10.740000000000002,40.0,50.74,2025-01-05,11:15
430,-10.899999999999999,40.0,50.9,2025-01-05,11:30
431,-10.899999999999999,40.0,50.9,2025-01-05,11:45
432,-10.969999999999999,40.0,50.97,2025-01-05,12:00
