,gen_ahead_publish,dg_ahead_publish,ne_ahead_publish,load_ahead_publish,wind_ahead_publish,pv_ahead_publish,hydro_ahead_publish,tieline_ahead_publish,jingjiakongjian,sdsurplus,temperature_620000,temperature_620001,temperature_620002,pressure_620000,pressure_620001,pressure_620002,solartotal_620000,solartotal_620001,solartotal_620002,totalcloud_620000,totalcloud_620001,totalcloud_620002,humidity_620000,humidity_620001,humidity_620002,windspeed_620000,windspeed_620001,windspeed_620002,winddirection_620000,winddirection_620001,winddirection_620002,rainfall_620000,rainfall_620001,rainfall_620002,feeltemp_620000,feeltemp_620001,feeltemp_620002,time_order,slot,info_date,info_hour
0,24335.46,9863.62,2918.55,18058.0,3593.3,0.0,4873.0,5839.0,6241.83,438.4599999999991,19.111494,19.791045,16.835,811.165517,809.232836,817.64,0.0,0.0,0.0,0.881368,0.938075,0.6914,0.789207,0.830015,0.6525,3.608159,4.131974,2.004711,152.86092,146.861194,172.96,0.321839,0.391045,0.09,14.575862,15.677612,10.885,0,1,2024-09-01,00:15
1,24323.08,9871.29,2906.18,17758.0,3582.35,0.0,4873.0,5807.0,5914.529999999999,758.0800000000017,19.111494,19.791045,16.835,811.165517,809.232836,817.64,0.0,0.0,0.0,0.881368,0.938075,0.6914,0.789207,0.830015,0.6525,3.608159,4.131974,2.004711,152.86092,146.861194,172.96,0.321839,0.391045,0.09,14.575862,15.677612,10.885,1,1,2024-09-01,00:30
2,24318.62,9877.71,2901.71,17654.0,3573.96,0.0,4873.0,5776.0,5777.580000000002,888.619999999999,19.111494,19.791045,16.835,811.165517,809.232836,817.64,0.0,0.0,0.0,0.881368,0.938075,0.6914,0.789207,0.830015,0.6525,3.608159,4.131974,2.004711,152.86092,146.861194,172.96,0.321839,0.391045,0.09,14.575862,15.677612,10.885,2,1,2024-09-01,00:45
3,24313.45,9886.54,2896.55,17610.0,3566.94,0.0,4883.0,5745.0,5688.91,958.4500000000007,19.111494,19.791045,16.835,811.165517,809.232836,817.64,0.0,0.0,0.0,0.881368,0.938075,0.6914,0.789207,0.830015,0.6525,3.608159,4.131974,2.004711,152.86092,146.861194,172.96,0.321839,0.391045,0.09,14.575862,15.677612,10.885,3,1,2024-09-01,01:00
4,24425.13,10001.3,2902.74,17466.0,3568.31,0.0,4873.0,5792.0,5480.960000000003,1167.130000000001,18.610345,19.4,15.965,811.008046,809.095522,817.415,0.0,0.0,0.0,0.900943,0.971433,0.6648,0.804851,0.842104,0.68005,3.460587,3.887278,2.154445,154.332184,149.398507,170.86,0.235632,0.28209,0.08,13.917241,15.183582,9.675,4,1,2024-09-01,01:15
5,24459.98,10038.8,2911.22,17434.0,3573.44,0.0,4873.0,5796.0,5406.98,1229.9799999999996,18.610345,19.4,15.965,811.008046,809.095522,817.415,0.0,0.0,0.0,0.900943,0.971433,0.6648,0.804851,0.842104,0.68005,3.460587,3.887278,2.154445,154.332184,149.398507,170.86,0.235632,0.28209,0.08,13.917241,15.183582,9.675,5,1,2024-09-01,01:30
6,24494.8,10079.5,2919.67,17340.0,3584.7,0.0,4873.0,5811.0,5278.830000000002,1343.7999999999993,18.610345,19.4,15.965,811.008046,809.095522,817.415,0.0,0.0,0.0,0.900943,0.971433,0.6648,0.804851,0.842104,0.68005,3.460587,3.887278,2.154445,154.332184,149.398507,170.86,0.235632,0.28209,0.08,13.917241,15.183582,9.675,6,1,2024-09-01,01:45
7,24531.04,10117.6,2929.54,17349.0,3580.3,0.0,4873.0,5804.0,5232.859999999999,1378.0400000000009,18.610345,19.4,15.965,811.008046,809.095522,817.415,0.0,0.0,0.0,0.900943,0.971433,0.6648,0.804851,0.842104,0.68005,3.460587,3.887278,2.154445,154.332184,149.398507,170.86,0.235632,0.28209,0.08,13.917241,15.183582,9.675,7,1,2024-09-01,02:00
8,24578.09,10158.4,2950.22,17300.0,3587.19,0.0,4873.0,5835.0,5153.379999999999,1443.0900000000001,18.162069,18.947761,15.53,810.655172,808.741791,817.065,0.0,0.0,0.0,0.877609,0.97806,0.5411,0.821897,0.857776,0.7017,3.109127,3.53502,1.805431,170.387356,173.089552,161.335,0.167816,0.186567,0.105,13.635632,14.861194,9.53,8,1,2024-09-01,02:15
9,24390.4,9961.85,2974.55,17206.0,3603.34,0.0,4873.0,5728.0,5124.6,1456.4000000000015,18.162069,18.947761,15.53,810.655172,808.741791,817.065,0.0,0.0,0.0,0.877609,0.97806,0.5411,0.821897,0.857776,0.7017,3.109127,3.53502,1.805431,170.387356,173.089552,161.335,0.167816,0.186567,0.105,13.635632,14.861194,9.53,9,1,2024-09-01,02:30
