,price_diff,price_real_clear,price_ahead_clear,info_date,info_hour
1,150.0,500.0,350.0,2024-09-01,00:15
2,70.0,500.0,430.0,2024-09-01,00:30
3,150.0,600.0,450.0,2024-09-01,00:45
4,130.0,550.0,420.0,2024-09-01,01:00
5,200.0,600.0,400.0,2024-09-01,01:15
6,200.0,600.0,400.0,2024-09-01,01:30
7,200.0,600.0,400.0,2024-09-01,01:45
8,210.0,600.0,390.0,2024-09-01,02:00
9,200.0,600.0,400.0,2024-09-01,02:15
10,200.0,600.0,400.0,2024-09-01,02:30
11,200.0,600.0,400.0,2024-09-01,02:45
12,200.0,600.0,400.0,2024-09-01,03:00
13,190.0,600.0,410.0,2024-09-01,03:15
14,200.0,600.0,400.0,2024-09-01,03:30
15,200.0,600.0,400.0,2024-09-01,03:45
16,200.0,600.0,400.0,2024-09-01,04:00
17,200.0,600.0,400.0,2024-09-01,04:15
18,200.0,600.0,400.0,2024-09-01,04:30
19,210.0,600.0,390.0,2024-09-01,04:45
20,200.0,600.0,400.0,2024-09-01,05:00
21,210.0,600.0,390.0,2024-09-01,05:15
22,230.0,600.0,370.0,2024-09-01,05:30
23,260.0,600.0,340.0,2024-09-01,05:45
24,250.0,600.0,350.0,2024-09-01,06:00
25,250.0,600.0,350.0,2024-09-01,06:15
26,270.0,600.0,330.0,2024-09-01,06:30
27,280.0,600.0,320.0,2024-09-01,06:45
28,280.0,600.0,320.0,2024-09-01,07:00
29,350.0,400.0,50.0,2024-09-01,07:15
30,330.0,380.0,50.0,2024-09-01,07:30
31,370.0,420.0,50.0,2024-09-01,07:45
32,168.99,400.0,231.01,2024-09-01,08:00
33,304.71000000000004,550.0,245.29,2024-09-01,08:15
34,197.77,430.0,232.23,2024-09-01,08:30
35,-174.74,40.0,214.74,2024-09-01,08:45
36,-16.79,40.0,56.79,2024-09-01,09:00
37,-63.19,40.0,103.19,2024-09-01,09:15
38,-121.28,40.0,161.28,2024-09-01,09:30
39,320.3,550.0,229.7,2024-09-01,09:45
40,353.53999999999996,600.0,246.46,2024-09-01,10:00
41,-71.38,40.0,111.38,2024-09-01,10:15
42,-88.78999999999999,40.0,128.79,2024-09-01,10:30
43,140.2,335.95,195.75,2024-09-01,10:45
44,331.57,547.62,216.05,2024-09-01,11:00
45,-180.98,40.0,220.98,2024-09-01,11:15
46,-11.329999999999984,202.84,214.17,2024-09-01,11:30
47,-4.75,210.93,215.68,2024-09-01,11:45
48,7.760000000000019,176.74,168.98,2024-09-01,12:00
49,-111.91,40.0,151.91,2024-09-01,12:15
50,-33.81999999999999,40.0,73.82,2024-09-01,12:30
51,-22.71,40.0,62.71,2024-09-01,12:45
52,-17.11,40.0,57.11,2024-09-01,13:00
53,-11.409999999999997,40.0,51.41,2024-09-01,13:15
54,-11.340000000000003,40.0,51.34,2024-09-01,13:30
55,-11.280000000000001,40.0,51.28,2024-09-01,13:45
56,-16.86,40.0,56.86,2024-09-01,14:00
57,-16.85,40.0,56.85,2024-09-01,14:15
58,-33.56,40.0,73.56,2024-09-01,14:30
59,-95.44,40.0,135.44,2024-09-01,14:45
60,-117.1,40.0,157.1,2024-09-01,15:00
61,-125.13999999999999,40.0,165.14,2024-09-01,15:15
62,-162.97,40.0,202.97,2024-09-01,15:30
63,-174.84,40.0,214.84,2024-09-01,15:45
64,-203.7,40.0,243.7,2024-09-01,16:00
65,-187.07,40.0,227.07,2024-09-01,16:15
