feature_name,importance_gain
jingjiakongjian,7396091.5
sdsurplus,3102960.5
pv_ahead_publish,2018712.625
pv_ahead_publish_diff3,833123.6875
load_ahead_publish_xinjiang_rolling_mean,661278.4375
temperature_620000_diff3,567497.9375
temperature_620002_lag3,538480.5
solar_term,433304.5625
pv_ahead_publish_lag3,422297.71875
windspeed_620002,377167.15625
sdsurplus_lag1,352433.34375
feeltemp_620002_lag3,304322.0
windspeed_620001,303662.21875
load_ahead_publish_xinjiang_lag3,287680.90625
load_ahead_publish_xinjiang,278423.3125
solar_term_rolling_mean,264767.46875
temperature_620001_diff3,264761.6875
solartotal_620001_diff3,264296.3125
gen_ahead_publish,263809.125
humidity_620002_lag3,248192.59375
time_order,246557.375
time_order_lag3,241651.53125
feeltemp_620000,240500.03125
pv_ahead_publish_diff1,234074.546875
jingjiakongjian_lag1,229729.765625
temperature_620001,229688.75
winddirection_620002_lag3,229118.546875
solar_term_lag1,216801.5625
totalcloud_620001_lag1,208326.890625
ne_ahead_publish,204827.46875
solartotal_620002,189911.453125
winddirection_620000,189078.0
feeltemp_620001,188265.671875
totalcloud_620000_lag3,182038.765625
humidity_620000,180071.28125
totalcloud_620001_lag3,179318.71875
temperature_620002_diff3,177030.234375
solartotal_620002_lag1,172091.21875
feeltemp_620002_rolling_mean,171001.03125
time_order_lag1,166480.3125
humidity_620000_lag3,165251.515625
wind_ahead_publish_lag3,163042.078125
ne_ahead_publish_lag1,161753.703125
feeltemp_620000_rolling_mean,159939.4375
feeltemp_620002,155209.59375
windspeed_620002_lag1,155190.359375
windspeed_620001_rolling_mean,152517.515625
winddirection_620002,152123.109375
windspeed_620002_lag3,151503.78125
tieline_ahead_publish_rolling_mean,150094.25
temperature_620002,149242.796875
solar_term_lag3,147161.6875
load_ahead_publish_xinjiang_lag1,146975.671875
hydro_ahead_publish,146018.546875
load_ahead_publish_ningxia_rolling_mean,144336.203125
load_ahead_publish_ningxia_lag3,134974.796875
ne_ahead_publish_rolling_mean,133587.59375
time_order_rolling_mean,131982.125
load_ahead_publish_shanxi_lag3,131500.125
hydro_ahead_publish_lag3,131370.375
tieline_ahead_publish_lag1,130584.859375
solartotal_620002_lag3,127726.90625
wind_ahead_publish_rolling_mean,127487.71875
rainfall_620001_lag3,126867.6875
hydro_ahead_publish_rolling_mean,125669.5859375
rainfall_620001,125504.171875
load_ahead_publish_shanxi_rolling_mean,125421.3203125
winddirection_620000_rolling_mean,125230.2734375
temperature_620002_lag1,121570.7421875
temperature_620000_lag3,121060.9296875
pressure_620001_lag3,119555.359375
humidity_620000_lag1,118181.78125
feeltemp_620000_lag3,118115.0703125
solartotal_620000_diff3,117167.5546875
load_ahead_publish_shanxi,116458.7265625
load_ahead_publish_ningxia_lag1,116353.390625
winddirection_620002_lag1,115565.53125
humidity_620001_lag3,114675.578125
feeltemp_620001_lag1,114468.3359375
tieline_ahead_publish,112375.2890625
humidity_620002,110308.9375
pv_ahead_publish_lag1,109237.2421875
winddirection_620002_rolling_mean,108850.1953125
tieline_ahead_publish_lag3,108185.703125
totalcloud_620002,107916.671875
temperature_620001_lag1,107247.21875
rainfall_620002,106512.6640625
jingjiakongjian_rolling_mean,106448.5625
dg_ahead_publish_rolling_mean,105134.484375
humidity_620001,103195.9453125
rainfall_620000_rolling_mean,103139.7890625
rainfall_620002_rolling_mean,102679.6171875
humidity_620002_rolling_mean,102295.0703125
totalcloud_620001,102253.4296875
winddirection_620000_lag1,102150.640625
winddirection_620001,101826.9296875
totalcloud_620000,101728.859375
humidity_620002_lag1,100644.6171875
pressure_620000,98835.984375
pressure_620002,98227.2265625
rainfall_620002_lag3,98176.7265625
load_ahead_publish_ningxia,95681.6640625
rainfall_620000,95568.0390625
feeltemp_620000_lag1,95348.671875
wind_ahead_publish_diff3,95186.4609375
humidity_620000_rolling_mean,94337.828125
pressure_620001,94308.125
windspeed_620002_rolling_mean,93650.2265625
solartotal_620001_lag3,93197.578125
load_ahead_publish_lag1,92924.109375
feeltemp_620002_lag1,92427.9453125
wind_ahead_publish_lag1,91747.0625
winddirection_620001_lag3,91410.3359375
pressure_620000_lag3,91254.8984375
feeltemp_620001_lag3,90727.15625
rainfall_620000_lag3,90609.1484375
pressure_620002_lag3,90047.40625
temperature_620000,88321.484375
dg_ahead_publish_lag1,87961.671875
humidity_620001_rolling_mean,87435.1171875
totalcloud_620002_lag3,86564.6640625
winddirection_620000_lag3,86286.015625
load_ahead_publish_shanxi_lag1,85893.0390625
humidity_620001_lag1,85116.4765625
windspeed_620000_lag3,84958.7265625
windspeed_620001_lag3,82960.1953125
windspeed_620001_lag1,82358.6015625
solartotal_620001,79986.0078125
pressure_620002_lag1,78955.171875
solartotal_620000_rolling_mean,78159.5390625
dg_ahead_publish_lag3,77793.640625
temperature_620002_rolling_mean,77469.21875
windspeed_620000_lag1,77336.3203125
feeltemp_620000_diff3,77157.4921875
temperature_620001_rolling_mean,76833.3828125
gen_ahead_publish_lag3,76467.015625
rainfall_620001_lag1,74459.28125
rainfall_620001_rolling_mean,74152.96875
hydro_ahead_publish_lag1,73396.2578125
humidity_620001_diff3,72322.5078125
totalcloud_620002_rolling_mean,71973.1796875
pressure_620001_rolling_mean,71915.59375
totalcloud_620000_rolling_mean,70966.6953125
load_ahead_publish_lag3,70820.71875
totalcloud_620001_rolling_mean,70754.7890625
gen_ahead_publish_rolling_mean,69128.8125
load_ahead_publish_shanxi_diff3,68480.296875
feeltemp_620001_rolling_mean,66947.7265625
pressure_620000_rolling_mean,65504.03515625
solartotal_620001_lag1,64973.71484375
windspeed_620000,64144.12109375
pressure_620001_lag1,63897.69140625
ne_ahead_publish_diff1,63469.796875
rainfall_620000_lag1,63234.6640625
wind_ahead_publish,62316.73046875
load_ahead_publish_rolling_mean,62273.37109375
hydro_ahead_publish_diff3,61970.1796875
temperature_620001_lag3,61894.6640625
sdsurplus_lag3,61214.3359375
load_ahead_publish_xinjiang_diff3,60146.90234375
solartotal_620000_lag3,60019.54296875
solartotal_620002_diff3,59975.21875
totalcloud_620000_lag1,59822.265625
ne_ahead_publish_diff3,57975.953125
winddirection_620001_lag1,56477.16796875
pv_ahead_publish_rolling_std,55295.6640625
sdsurplus_diff3,54922.140625
jingjiakongjian_lag3,54895.75390625
pressure_620002_rolling_mean,54695.58984375
totalcloud_620002_lag1,54659.28125
sdsurplus_rolling_mean,53755.84375
feeltemp_620002_diff3,52470.8671875
pressure_620000_lag1,52251.609375
temperature_620000_lag1,50363.640625
winddirection_620001_rolling_mean,50331.05859375
ne_ahead_publish_lag3,48802.08203125
wind_ahead_publish_diff1,47268.84375
gen_ahead_publish_lag1,47086.38671875
solartotal_620001_rolling_mean,45782.421875
pv_ahead_publish_rolling_mean,44856.5
rainfall_620000_diff3,44571.72265625
solartotal_620000,43324.01953125
humidity_620000_diff3,42380.0078125
pressure_620001_diff3,42086.7890625
ne_ahead_publish_rolling_std,41592.20703125
load_ahead_publish_ningxia_diff3,41519.48046875
jingjiakongjian_diff3,41364.9609375
load_ahead_publish,41040.40234375
load_ahead_publish_shanxi_diff1,40912.140625
rainfall_620002_lag1,40360.015625
dg_ahead_publish,38777.328125
solartotal_620000_lag1,38246.39453125
windspeed_620000_rolling_mean,36433.34765625
pressure_620000_diff3,35484.54296875
wind_ahead_publish_rolling_std,34312.95703125
windspeed_620001_diff3,33910.7109375
load_ahead_publish_diff3,33358.33203125
rainfall_620001_diff3,31969.81640625
windspeed_620002_diff3,31098.591796875
feeltemp_620001_diff3,30775.935546875
totalcloud_620001_diff3,30693.056640625
solartotal_620002_rolling_mean,29170.8359375
totalcloud_620000_diff3,29161.578125
dg_ahead_publish_diff3,28628.171875
winddirection_620000_diff3,28487.734375
windspeed_620000_diff3,28396.931640625
humidity_620002_diff3,27716.51171875
pressure_620002_diff3,27557.283203125
rainfall_620002_diff3,27267.83984375
temperature_620000_rolling_mean,26540.4140625
rainfall_620000_rolling_std,25701.1953125
feeltemp_620002_rolling_std,25401.42578125
tieline_ahead_publish_diff3,23876.904296875
winddirection_620002_diff3,23110.97265625
solartotal_620001_diff1,20982.017578125
load_ahead_publish_xinjiang_diff1,20862.33203125
humidity_620002_rolling_std,20605.31640625
rainfall_620002_diff1,20560.828125
gen_ahead_publish_diff3,20129.361328125
rainfall_620002_rolling_std,19838.6171875
totalcloud_620002_diff3,19761.826171875
hydro_ahead_publish_rolling_std,19497.568359375
load_ahead_publish_ningxia_rolling_std,18718.970703125
totalcloud_620000_rolling_std,18032.396484375
rainfall_620000_diff1,17533.3359375
tieline_ahead_publish_diff1,17043.666015625
tieline_ahead_publish_rolling_std,16765.583984375
gen_ahead_publish_rolling_std,16334.6435546875
sdsurplus_diff1,15581.6201171875
winddirection_620001_diff3,15330.318359375
rainfall_620001_rolling_std,15115.6064453125
sdsurplus_rolling_std,14943.1103515625
feeltemp_620001_diff1,14915.44140625
windspeed_620001_rolling_std,14860.6826171875
load_ahead_publish_xinjiang_rolling_std,14064.4208984375
humidity_620001_diff1,13987.318359375
load_ahead_publish_shanxi_rolling_std,13374.6474609375
windspeed_620002_rolling_std,13208.943359375
dg_ahead_publish_rolling_std,12715.529296875
load_ahead_publish_ningxia_diff1,12558.9375
jingjiakongjian_diff1,12014.08203125
gen_ahead_publish_diff1,11994.640625
temperature_620001_rolling_std,11594.77734375
jingjiakongjian_rolling_std,11248.556640625
winddirection_620001_diff1,10744.591796875
rainfall_620001_diff1,10724.4697265625
humidity_620000_rolling_std,10516.9560546875
solartotal_620000_rolling_std,10493.2041015625
pressure_620002_rolling_std,10372.9140625
pressure_620002_diff1,10293.7626953125
windspeed_620002_diff1,10143.06640625
windspeed_620000_diff1,9768.4345703125
winddirection_620000_rolling_std,9732.3857421875
solartotal_620002_rolling_std,9651.3115234375
hydro_ahead_publish_diff1,9567.97265625
totalcloud_620001_rolling_std,9560.49609375
humidity_620001_rolling_std,9311.869140625
temperature_620002_diff1,9297.8662109375
totalcloud_620001_diff1,9238.568359375
pressure_620001_diff1,8459.9677734375
temperature_620002_rolling_std,8393.2431640625
windspeed_620000_rolling_std,7862.09375
feeltemp_620000_rolling_std,7767.72705078125
load_ahead_publish_rolling_std,7611.3310546875
dg_ahead_publish_diff1,7603.3388671875
winddirection_620000_diff1,7409.263671875
winddirection_620001_rolling_std,7372.65771484375
solartotal_620001_rolling_std,7306.9326171875
pressure_620000_rolling_std,7288.29638671875
feeltemp_620000_diff1,7135.65087890625
pressure_620000_diff1,6659.30859375
humidity_620000_diff1,6628.35595703125
feeltemp_620001_rolling_std,6364.7646484375
winddirection_620002_rolling_std,6233.021484375
feeltemp_620002_diff1,6146.88623046875
pressure_620001_rolling_std,6033.19287109375
totalcloud_620002_rolling_std,5449.4228515625
temperature_620001_diff1,5292.234375
humidity_620002_diff1,5178.30810546875
totalcloud_620000_diff1,5144.22216796875
totalcloud_620002_diff1,5104.87890625
solartotal_620002_diff1,4972.5166015625
windspeed_620001_diff1,4875.376953125
solartotal_620000_diff1,4849.017578125
winddirection_620002_diff1,4848.38330078125
temperature_620000_rolling_std,4144.39111328125
temperature_620000_diff1,4019.357666015625
load_ahead_publish_diff1,3833.41748046875
time_order_diff1,0.0
time_order_rolling_std,0.0
time_order_diff3,0.0
solar_term_diff1,0.0
solar_term_rolling_std,0.0
solar_term_diff3,0.0
