feature_name,importance_gain
sdsurplus,17679668.0
jingjiakongjian,14980999.0
sdsurplus_lag1,9567610.0
jingjiakongjian_lag2,8903286.0
jingjiakongjian_lag1,4234375.0
sdsurplus_lag2,3727159.25
sdsurplus_lag3,1948763.0
jingjiakongjian_lag3,1549526.0
jingjiakongjian_lag15,925143.0625
sdsurplus_lag15,890678.375
sdsurplus_lag14,843101.75
sdsurplus_lag9,806967.4375
jingjiakongjian_lag4,802346.375
jingjiakongjian_lag10,800355.8125
jingjiakongjian_lag9,793415.375
sdsurplus_lag11,732023.1875
sdsurplus_lag12,727583.5625
jingjiakongjian_lag8,638944.625
sdsurplus_lag6,632979.625
sdsurplus_lag13,626558.3125
sdsurplus_lag8,616416.4375
jingjiakongjian_lag6,572963.5
sdsurplus_lag10,549627.875
jingjiakongjian_lag7,524562.0625
jingjiakongjian_lag14,509934.21875
sdsurplus_lag7,479494.21875
jingjiakongjian_lag12,465421.75
jingjiakongjian_lag13,378316.1875
jingjiakongjian_lag11,334462.0625
jingjiakongjian_lag5,293938.625
sdsurplus_lag4,228207.390625
sdsurplus_lag5,198458.015625
