feature_name,importance_gain
jingjiakongjian,4567919.0
temperature_620000_diff7,3539334.25
solartotal_620001_diff7,2502582.0
sdsurplus,2385364.0
sdsurplus_lag1,1035153.0625
temperature_620002_diff7,768025.75
jingjiakongjian_lag1,642731.625
gen_ahead_publish_lag1,438532.5625
solartotal_620000_diff7,418796.84375
load_ahead_publish_xinjiang_rolling_mean,352694.1875
windspeed_620002,334950.0
solar_term,315826.03125
solar_term_lag1,311835.59375
solar_term_rolling_mean,226127.640625
solar_term_lag7,209648.921875
solartotal_620000_rolling_std,194260.625
windspeed_620002_lag1,194067.484375
load_ahead_publish_xinjiang_lag1,179629.84375
ne_ahead_publish_lag1,178150.953125
temperature_620002_rolling_mean,163137.90625
load_ahead_publish_xinjiang_lag7,158749.0
feeltemp_620000,157880.984375
winddirection_620002_rolling_mean,153854.859375
temperature_620002_lag1,151900.0
pv_ahead_publish_lag7,151812.296875
feeltemp_620002_lag1,151435.96875
load_ahead_publish_xinjiang,149723.578125
windspeed_620001,148872.625
feeltemp_620002_lag7,148497.0
feeltemp_620002_rolling_mean,145056.875
gen_ahead_publish,133680.578125
ne_ahead_publish,129046.0703125
load_ahead_publish_shanxi_lag7,125658.4609375
feeltemp_620002,125648.1328125
winddirection_620002,124320.25
temperature_620001,124089.078125
feeltemp_620000_lag1,121848.390625
temperature_620001_diff7,120124.3203125
pv_ahead_publish_diff7,118036.6171875
temperature_620002,117871.171875
totalcloud_620000_lag7,113123.46875
winddirection_620002_lag1,112862.65625
pv_ahead_publish_lag1,110418.1171875
solartotal_620001_rolling_std,109663.125
totalcloud_620001_lag7,109385.546875
jingjiakongjian_rolling_mean,107312.9921875
winddirection_620000,106555.6640625
temperature_620002_lag7,106355.8046875
load_ahead_publish_ningxia_lag1,104697.4140625
totalcloud_620000_lag1,104149.078125
feeltemp_620001_lag1,103919.234375
humidity_620002_lag1,99220.4921875
tieline_ahead_publish_lag1,98823.0546875
winddirection_620000_rolling_mean,97861.859375
tieline_ahead_publish_rolling_mean,97394.4609375
wind_ahead_publish_lag7,95254.5078125
humidity_620001,95057.5703125
windspeed_620001_lag1,94317.28125
rainfall_620001_lag7,93137.53125
hydro_ahead_publish_lag1,92036.359375
temperature_620001_lag7,91606.828125
humidity_620000,90185.7265625
load_ahead_publish_shanxi_rolling_mean,89686.46875
humidity_620002_lag7,89629.078125
humidity_620002_rolling_mean,89074.8671875
feeltemp_620000_lag7,88742.1875
temperature_620001_lag1,88655.1484375
feeltemp_620001_rolling_mean,88414.0546875
winddirection_620002_lag7,87993.5859375
temperature_620000_lag7,87507.4921875
load_ahead_publish_ningxia_rolling_mean,86637.4765625
solartotal_620001_lag7,86593.6484375
humidity_620001_lag1,86576.3984375
feeltemp_620001,86523.3671875
totalcloud_620001_rolling_mean,85878.703125
load_ahead_publish_rolling_mean,85366.6484375
wind_ahead_publish_lag1,84020.265625
totalcloud_620001_lag1,83918.8203125
hydro_ahead_publish,83531.6484375
hydro_ahead_publish_lag7,82185.890625
humidity_620002,82159.3125
solartotal_620002,82027.0703125
totalcloud_620002_lag7,81788.625
load_ahead_publish_ningxia_lag7,81211.4765625
pressure_620000_lag7,80858.7109375
rainfall_620002,80570.546875
wind_ahead_publish_rolling_mean,79348.7578125
windspeed_620002_rolling_mean,78893.8671875
solartotal_620000_lag7,78671.0390625
hydro_ahead_publish_rolling_mean,77579.5703125
solartotal_620002_diff7,76935.28125
tieline_ahead_publish,76397.796875
solartotal_620002_rolling_mean,76356.1640625
rainfall_620002_lag1,75472.671875
load_ahead_publish_shanxi_lag1,75001.5625
humidity_620001_lag7,74829.5625
pressure_620002_lag7,74495.5390625
winddirection_620000_lag1,74377.65625
