feature_name,importance_gain
jingjiakongjian,7822117.0
sdsurplus,5017092.0
pv_ahead_publish,1447900.875
ne_ahead_publish,1330060.5
gen_ahead_publish,707047.6875
solar_term,532720.8125
load_ahead_publish_xinjiang,497603.65625
windspeed_620002,475394.96875
windspeed_620001,466220.25
solartotal_620002,406826.71875
time_order,403787.34375
feeltemp_620001,399101.46875
winddirection_620002,344329.84375
feeltemp_620002,339542.59375
temperature_620002,335274.8125
feeltemp_620000,314477.3125
temperature_620000,287901.46875
winddirection_620000,275900.625
temperature_620001,275032.25
tieline_ahead_publish,267838.59375
humidity_620002,255915.546875
load_ahead_publish_ningxia,253283.734375
humidity_620000,241363.9375
load_ahead_publish_shanxi,230982.3125
hydro_ahead_publish,229947.125
solartotal_620001,229888.0
totalcloud_620000,206455.453125
totalcloud_620001,205035.96875
load_ahead_publish,192613.453125
winddirection_620001,190129.8125
wind_ahead_publish,185515.015625
rainfall_620001,183384.65625
rainfall_620002,182727.796875
pressure_620002,181516.328125
pressure_620001,173381.0
humidity_620001,169923.34375
solartotal_620000,160587.59375
pressure_620000,157861.625
rainfall_620000,148529.484375
dg_ahead_publish,145667.609375
windspeed_620000,145234.046875
totalcloud_620002,129569.3125
