feature_name,importance_gain
pv_ahead_publish,232.78268432617188
load_ahead_publish_ningxia,191.516357421875
ne_ahead_publish,135.2821807861328
load_ahead_publish_shanxi,76.35537719726562
pressure_620002,76.00751495361328
totalcloud_620001,75.59646606445312
solar_term,69.78999328613281
winddirection_620000,65.21467590332031
windspeed_620000,60.647552490234375
totalcloud_620000,57.591796875
totalcloud_620002,56.227970123291016
feeltemp_620002,52.3001823425293
hydro_ahead_publish,46.80047607421875
temperature_620001,45.56426239013672
windspeed_620002,44.968353271484375
gen_ahead_publish,40.838130950927734
wind_ahead_publish,38.08304214477539
humidity_620000,38.00001525878906
sdsurplus,36.8684196472168
winddirection_620001,31.44304656982422
pressure_620000,30.084430694580078
temperature_620000,27.43328094482422
time_order,25.25956916809082
winddirection_620002,19.525190353393555
solartotal_620002,18.952972412109375
load_ahead_publish,16.861474990844727
solartotal_620001,7.13787841796875
dg_ahead_publish,0.0
tieline_ahead_publish,0.0
jingjiakongjian,0.0
temperature_620002,0.0
pressure_620001,0.0
solartotal_620000,0.0
humidity_620001,0.0
humidity_620002,0.0
windspeed_620001,0.0
rainfall_620000,0.0
rainfall_620001,0.0
rainfall_620002,0.0
feeltemp_620000,0.0
feeltemp_620001,0.0
load_ahead_publish_xinjiang,0.0
