feature_name,importance_gain
temperature_620000_diff7,798.812255859375
solartotal_620000_diff7,780.533935546875
temperature_620001_diff7,760.299072265625
load_ahead_publish_ningxia,325.47381591796875
ne_ahead_publish_lag1,254.7007293701172
ne_ahead_publish_rolling_mean,250.88262939453125
load_ahead_publish_ningxia_lag1,245.10525512695312
load_ahead_publish_ningxia_rolling_mean,226.7669219970703
tieline_ahead_publish,224.29595947265625
windspeed_620002,219.4014129638672
wind_ahead_publish_lag7,216.42474365234375
windspeed_620002_lag1,186.40321350097656
winddirection_620002_lag7,185.52809143066406
temperature_620002,182.51058959960938
temperature_620002_rolling_mean,178.666015625
solar_term_lag1,170.1024169921875
solar_term,154.20877075195312
totalcloud_620001_rolling_mean,141.5640869140625
totalcloud_620000,139.5515594482422
totalcloud_620002_rolling_mean,139.1090545654297
totalcloud_620002_lag7,139.01649475097656
sdsurplus,138.4010009765625
totalcloud_620000_lag1,137.73321533203125
totalcloud_620000_rolling_mean,126.2830581665039
rainfall_620001_rolling_mean,123.27511596679688
humidity_620001,114.157470703125
load_ahead_publish_xinjiang_lag1,113.13662719726562
load_ahead_publish_xinjiang,110.32996368408203
feeltemp_620001_lag7,103.43014526367188
gen_ahead_publish,0.0
dg_ahead_publish,0.0
ne_ahead_publish,0.0
load_ahead_publish,0.0
wind_ahead_publish,0.0
pv_ahead_publish,0.0
hydro_ahead_publish,0.0
jingjiakongjian,0.0
time_order,0.0
temperature_620000,0.0
temperature_620001,0.0
pressure_620000,0.0
pressure_620001,0.0
pressure_620002,0.0
solartotal_620000,0.0
solartotal_620001,0.0
solartotal_620002,0.0
totalcloud_620001,0.0
totalcloud_620002,0.0
humidity_620000,0.0
humidity_620002,0.0
windspeed_620000,0.0
windspeed_620001,0.0
winddirection_620000,0.0
winddirection_620001,0.0
winddirection_620002,0.0
rainfall_620000,0.0
rainfall_620001,0.0
rainfall_620002,0.0
feeltemp_620000,0.0
feeltemp_620001,0.0
feeltemp_620002,0.0
load_ahead_publish_shanxi,0.0
gen_ahead_publish_lag1,0.0
gen_ahead_publish_diff1,0.0
gen_ahead_publish_rolling_mean,0.0
gen_ahead_publish_rolling_std,0.0
gen_ahead_publish_lag7,0.0
gen_ahead_publish_diff7,0.0
dg_ahead_publish_lag1,0.0
dg_ahead_publish_diff1,0.0
dg_ahead_publish_rolling_mean,0.0
dg_ahead_publish_rolling_std,0.0
dg_ahead_publish_lag7,0.0
dg_ahead_publish_diff7,0.0
ne_ahead_publish_diff1,0.0
ne_ahead_publish_rolling_std,0.0
ne_ahead_publish_lag7,0.0
ne_ahead_publish_diff7,0.0
load_ahead_publish_lag1,0.0
load_ahead_publish_diff1,0.0
load_ahead_publish_rolling_mean,0.0
load_ahead_publish_rolling_std,0.0
load_ahead_publish_lag7,0.0
load_ahead_publish_diff7,0.0
wind_ahead_publish_lag1,0.0
wind_ahead_publish_diff1,0.0
wind_ahead_publish_rolling_mean,0.0
wind_ahead_publish_rolling_std,0.0
wind_ahead_publish_diff7,0.0
pv_ahead_publish_lag1,0.0
pv_ahead_publish_diff1,0.0
pv_ahead_publish_rolling_mean,0.0
pv_ahead_publish_rolling_std,0.0
pv_ahead_publish_lag7,0.0
pv_ahead_publish_diff7,0.0
hydro_ahead_publish_lag1,0.0
hydro_ahead_publish_diff1,0.0
hydro_ahead_publish_rolling_mean,0.0
hydro_ahead_publish_rolling_std,0.0
hydro_ahead_publish_lag7,0.0
hydro_ahead_publish_diff7,0.0
tieline_ahead_publish_lag1,0.0
tieline_ahead_publish_diff1,0.0
tieline_ahead_publish_rolling_mean,0.0
tieline_ahead_publish_rolling_std,0.0
tieline_ahead_publish_lag7,0.0
tieline_ahead_publish_diff7,0.0
jingjiakongjian_lag1,0.0
jingjiakongjian_diff1,0.0
jingjiakongjian_rolling_mean,0.0
jingjiakongjian_rolling_std,0.0
jingjiakongjian_lag7,0.0
jingjiakongjian_diff7,0.0
sdsurplus_lag1,0.0
sdsurplus_diff1,0.0
sdsurplus_rolling_mean,0.0
sdsurplus_rolling_std,0.0
sdsurplus_lag7,0.0
sdsurplus_diff7,0.0
time_order_lag1,0.0
time_order_diff1,0.0
time_order_rolling_mean,0.0
time_order_rolling_std,0.0
time_order_lag7,0.0
time_order_diff7,0.0
temperature_620000_lag1,0.0
temperature_620000_diff1,0.0
temperature_620000_rolling_mean,0.0
temperature_620000_rolling_std,0.0
temperature_620000_lag7,0.0
temperature_620001_lag1,0.0
temperature_620001_diff1,0.0
temperature_620001_rolling_mean,0.0
temperature_620001_rolling_std,0.0
temperature_620001_lag7,0.0
temperature_620002_lag1,0.0
temperature_620002_diff1,0.0
temperature_620002_rolling_std,0.0
temperature_620002_lag7,0.0
temperature_620002_diff7,0.0
pressure_620000_lag1,0.0
pressure_620000_diff1,0.0
pressure_620000_rolling_mean,0.0
pressure_620000_rolling_std,0.0
pressure_620000_lag7,0.0
pressure_620000_diff7,0.0
pressure_620001_lag1,0.0
pressure_620001_diff1,0.0
pressure_620001_rolling_mean,0.0
pressure_620001_rolling_std,0.0
pressure_620001_lag7,0.0
pressure_620001_diff7,0.0
pressure_620002_lag1,0.0
pressure_620002_diff1,0.0
pressure_620002_rolling_mean,0.0
pressure_620002_rolling_std,0.0
pressure_620002_lag7,0.0
pressure_620002_diff7,0.0
solartotal_620000_lag1,0.0
solartotal_620000_diff1,0.0
solartotal_620000_rolling_mean,0.0
solartotal_620000_rolling_std,0.0
solartotal_620000_lag7,0.0
solartotal_620001_lag1,0.0
solartotal_620001_diff1,0.0
solartotal_620001_rolling_mean,0.0
solartotal_620001_rolling_std,0.0
solartotal_620001_lag7,0.0
solartotal_620001_diff7,0.0
solartotal_620002_lag1,0.0
solartotal_620002_diff1,0.0
solartotal_620002_rolling_mean,0.0
solartotal_620002_rolling_std,0.0
solartotal_620002_lag7,0.0
solartotal_620002_diff7,0.0
totalcloud_620000_diff1,0.0
totalcloud_620000_rolling_std,0.0
totalcloud_620000_lag7,0.0
totalcloud_620000_diff7,0.0
totalcloud_620001_lag1,0.0
totalcloud_620001_diff1,0.0
totalcloud_620001_rolling_std,0.0
totalcloud_620001_lag7,0.0
totalcloud_620001_diff7,0.0
totalcloud_620002_lag1,0.0
totalcloud_620002_diff1,0.0
totalcloud_620002_rolling_std,0.0
totalcloud_620002_diff7,0.0
humidity_620000_lag1,0.0
humidity_620000_diff1,0.0
humidity_620000_rolling_mean,0.0
humidity_620000_rolling_std,0.0
humidity_620000_lag7,0.0
humidity_620000_diff7,0.0
humidity_620001_lag1,0.0
humidity_620001_diff1,0.0
