feature_name,importance_gain
jingjiakongjian,430.42071533203125
pv_ahead_publish,350.6086120605469
load_ahead_publish_ningxia_lag2,314.3681945800781
load_ahead_publish_shanxi_lag1,250.45167541503906
pv_ahead_publish_lag1,234.00897216796875
load_ahead_publish_ningxia_lag1,230.9884033203125
pressure_620000_lag5,200.08602905273438
ne_ahead_publish_lag2,162.83761596679688
tieline_ahead_publish_lag2,154.9029998779297
ne_ahead_publish_lag1,144.0458984375
totalcloud_620000_lag3,136.32003784179688
winddirection_620002_lag7,132.4319305419922
winddirection_620000_lag6,114.86023712158203
winddirection_620002_lag4,109.23625183105469
solar_term,105.236328125
dg_ahead_publish_lag5,103.66588592529297
load_ahead_publish_xinjiang_lag7,96.21029663085938
time_order,89.6204833984375
pressure_620000_lag7,85.76614379882812
feeltemp_620001_lag3,76.38528442382812
gen_ahead_publish_lag2,73.96603393554688
load_ahead_publish_shanxi_lag7,23.946212768554688
gen_ahead_publish,0.0
dg_ahead_publish,0.0
ne_ahead_publish,0.0
load_ahead_publish,0.0
wind_ahead_publish,0.0
hydro_ahead_publish,0.0
tieline_ahead_publish,0.0
sdsurplus,0.0
temperature_620000,0.0
temperature_620001,0.0
temperature_620002,0.0
pressure_620000,0.0
pressure_620001,0.0
pressure_620002,0.0
solartotal_620000,0.0
solartotal_620001,0.0
solartotal_620002,0.0
totalcloud_620000,0.0
totalcloud_620001,0.0
totalcloud_620002,0.0
humidity_620000,0.0
humidity_620001,0.0
humidity_620002,0.0
windspeed_620000,0.0
windspeed_620001,0.0
windspeed_620002,0.0
winddirection_620000,0.0
winddirection_620001,0.0
winddirection_620002,0.0
rainfall_620000,0.0
rainfall_620001,0.0
rainfall_620002,0.0
feeltemp_620000,0.0
feeltemp_620001,0.0
feeltemp_620002,0.0
load_ahead_publish_xinjiang,0.0
load_ahead_publish_shanxi,0.0
load_ahead_publish_ningxia,0.0
gen_ahead_publish_lag1,0.0
gen_ahead_publish_lag3,0.0
gen_ahead_publish_lag4,0.0
gen_ahead_publish_lag5,0.0
gen_ahead_publish_lag6,0.0
gen_ahead_publish_lag7,0.0
dg_ahead_publish_lag1,0.0
dg_ahead_publish_lag2,0.0
dg_ahead_publish_lag3,0.0
dg_ahead_publish_lag4,0.0
dg_ahead_publish_lag6,0.0
dg_ahead_publish_lag7,0.0
ne_ahead_publish_lag3,0.0
ne_ahead_publish_lag4,0.0
ne_ahead_publish_lag5,0.0
ne_ahead_publish_lag6,0.0
ne_ahead_publish_lag7,0.0
load_ahead_publish_lag1,0.0
load_ahead_publish_lag2,0.0
load_ahead_publish_lag3,0.0
load_ahead_publish_lag4,0.0
load_ahead_publish_lag5,0.0
load_ahead_publish_lag6,0.0
load_ahead_publish_lag7,0.0
wind_ahead_publish_lag1,0.0
wind_ahead_publish_lag2,0.0
wind_ahead_publish_lag3,0.0
wind_ahead_publish_lag4,0.0
wind_ahead_publish_lag5,0.0
wind_ahead_publish_lag6,0.0
wind_ahead_publish_lag7,0.0
pv_ahead_publish_lag2,0.0
pv_ahead_publish_lag3,0.0
pv_ahead_publish_lag4,0.0
pv_ahead_publish_lag5,0.0
pv_ahead_publish_lag6,0.0
pv_ahead_publish_lag7,0.0
hydro_ahead_publish_lag1,0.0
hydro_ahead_publish_lag2,0.0
hydro_ahead_publish_lag3,0.0
hydro_ahead_publish_lag4,0.0
hydro_ahead_publish_lag5,0.0
hydro_ahead_publish_lag6,0.0
hydro_ahead_publish_lag7,0.0
tieline_ahead_publish_lag1,0.0
tieline_ahead_publish_lag3,0.0
tieline_ahead_publish_lag4,0.0
tieline_ahead_publish_lag5,0.0
tieline_ahead_publish_lag6,0.0
tieline_ahead_publish_lag7,0.0
jingjiakongjian_lag1,0.0
jingjiakongjian_lag2,0.0
jingjiakongjian_lag3,0.0
jingjiakongjian_lag4,0.0
jingjiakongjian_lag5,0.0
jingjiakongjian_lag6,0.0
jingjiakongjian_lag7,0.0
sdsurplus_lag1,0.0
sdsurplus_lag2,0.0
sdsurplus_lag3,0.0
sdsurplus_lag4,0.0
sdsurplus_lag5,0.0
sdsurplus_lag6,0.0
sdsurplus_lag7,0.0
time_order_lag1,0.0
time_order_lag2,0.0
time_order_lag3,0.0
time_order_lag4,0.0
time_order_lag5,0.0
time_order_lag6,0.0
time_order_lag7,0.0
temperature_620000_lag1,0.0
temperature_620000_lag2,0.0
temperature_620000_lag3,0.0
temperature_620000_lag4,0.0
temperature_620000_lag5,0.0
temperature_620000_lag6,0.0
temperature_620000_lag7,0.0
temperature_620001_lag1,0.0
temperature_620001_lag2,0.0
temperature_620001_lag3,0.0
temperature_620001_lag4,0.0
temperature_620001_lag5,0.0
temperature_620001_lag6,0.0
temperature_620001_lag7,0.0
temperature_620002_lag1,0.0
temperature_620002_lag2,0.0
temperature_620002_lag3,0.0
temperature_620002_lag4,0.0
temperature_620002_lag5,0.0
temperature_620002_lag6,0.0
temperature_620002_lag7,0.0
pressure_620000_lag1,0.0
pressure_620000_lag2,0.0
pressure_620000_lag3,0.0
pressure_620000_lag4,0.0
pressure_620000_lag6,0.0
pressure_620001_lag1,0.0
pressure_620001_lag2,0.0
pressure_620001_lag3,0.0
pressure_620001_lag4,0.0
pressure_620001_lag5,0.0
