feature_name,importance_gain
hydro_ahead_publish,7364.17236328125
jingjiakongjian,7300.81640625
feeltemp_620002,6805.248046875
feeltemp_620001,6741.2392578125
windspeed_620000,6716.7119140625
solar_term,6634.2646484375
feeltemp_620000,6533.8388671875
windspeed_620002,6326.70263671875
load_ahead_publish_ningxia,6209.9775390625
ne_ahead_publish,6171.767578125
humidity_620001,6161.2294921875
load_ahead_publish_shanxi,6021.21142578125
pressure_620002,5630.91796875
windspeed_620001,5472.55322265625
pressure_620000,5441.76171875
tieline_ahead_publish,5435.67333984375
pressure_620001,5390.78515625
temperature_620001,5324.662109375
winddirection_620000,5152.65380859375
wind_ahead_publish,5143.88330078125
load_ahead_publish_xinjiang,5080.59619140625
totalcloud_620000,4982.26513671875
winddirection_620002,4979.89599609375
humidity_620000,4913.955078125
solartotal_620001,4670.3818359375
totalcloud_620001,4626.0947265625
temperature_620002,4621.2236328125
winddirection_620001,4413.9697265625
rainfall_620000,4380.41650390625
humidity_620002,4307.00537109375
totalcloud_620002,4231.57373046875
solartotal_620002,4081.863037109375
temperature_620000,4015.5810546875
rainfall_620002,3985.141845703125
time_order,3919.15625
rainfall_620001,3874.03369140625
dg_ahead_publish,3655.736572265625
solartotal_620000,3635.730224609375
pv_ahead_publish,3508.340087890625
gen_ahead_publish,3088.754150390625
sdsurplus,3060.2236328125
load_ahead_publish,2986.294677734375
