feature_name,importance_gain
jingjiakongjian,50460604.0
sdsurplus,40165004.0
sdsurplus_ahead_publish,35695916.0
ne_ahead_publish,22922646.0
gen_ahead_publish,12123471.0
pv_ahead_publish,11432929.0
price_ahead_clear_shift_1,10754557.0
temperature_620001,7863911.0
wind_ahead_publish,7405926.5
temperature_620000,4570227.0
feeltemp_620000,3970500.25
time_order,3467022.75
feeltemp_620001,3461648.5
load_ahead_publish_xinjiang,2969052.25
solartotal_620002,2885558.5
winddirection_620002,2730370.5
solar_term,2561933.75
winddirection_620000,2470187.0
feeltemp_620002,2420043.25
windspeed_620002,2335754.25
tieline_ahead_publish,2273782.5
load_ahead_publish_ningxia,2030858.125
windspeed_620001,2009140.0
temperature_620002,1906471.625
totalcloud_620000,1650649.625
pressure_620002,1593400.75
winddirection_620001,1580463.625
totalcloud_620002,1538870.25
dg_ahead_publish,1470420.25
windspeed_620000,1388147.625
humidity_620001,1323353.5
totalcloud_620001,1301739.375
humidity_620000,1244109.125
pressure_620000,1195031.75
hydro_ahead_publish,1167243.25
pressure_620001,1123803.125
rainfall_620002,1105810.25
load_ahead_publish_shanxi,1049026.75
rainfall_620001,986310.625
rainfall_620000,963782.375
load_ahead_publish,926281.3125
humidity_620002,574278.25
solartotal_620001,499618.875
solartotal_620000,43867.125
