info_date,n_points,agreement
2025-08-28,93,1.0
2025-08-29,96,1.0
2025-08-30,96,1.0
2025-08-31,96,1.0
2025-09-01,96,1.0
2025-09-02,96,1.0
2025-09-03,96,1.0
2025-09-04,96,1.0
2025-09-05,96,1.0
2025-09-06,96,1.0
2025-09-07,96,1.0
2025-09-08,96,1.0
2025-09-09,96,1.0
2025-09-10,96,1.0
2025-09-11,96,1.0
2025-09-12,96,1.0
2025-09-13,96,1.0
2025-09-14,96,1.0
2025-09-15,96,1.0
2025-09-16,96,1.0
2025-09-17,96,1.0
2025-09-18,96,1.0
2025-09-19,96,1.0
2025-09-20,96,1.0
2025-09-21,96,1.0
2025-09-22,96,1.0
2025-09-23,96,1.0
2025-09-24,96,1.0
2025-09-25,96,1.0
2025-09-26,96,1.0
