feature_name,importance_gain
jingjiakongjian,6644257.5
sdsurplus,5449790.5
sdsurplus_lag1,2207256.25
jingjiakongjian_lag1,2070631.75
jingjiakongjian_rolling_mean,793134.6875
jingjiakongjian_diff3,648997.9375
sdsurplus_rolling_mean,533159.4375
load_ahead_publish_xinjiang_lag1,526964.75
load_ahead_publish_xinjiang_rolling_mean,518054.4375
load_ahead_publish_xinjiang,483848.0625
load_ahead_publish_xinjiang_lag3,423438.34375
load_ahead_publish_shanxi_rolling_mean,413542.5625
sdsurplus_diff3,395988.65625
load_ahead_publish_shanxi_lag3,390952.34375
load_ahead_publish_ningxia_rolling_mean,300003.25
load_ahead_publish_shanxi_lag1,287784.53125
load_ahead_publish_ningxia_lag3,278842.53125
load_ahead_publish_shanxi,259461.15625
load_ahead_publish_ningxia_lag1,244285.703125
load_ahead_publish_shanxi_rolling_std,238700.125
load_ahead_publish_xinjiang_diff3,236177.0625
load_ahead_publish_ningxia,229361.03125
jingjiakongjian_lag3,222465.265625
sdsurplus_diff1,208352.453125
jingjiakongjian_rolling_std,193795.28125
load_ahead_publish_ningxia_rolling_std,192205.4375
sdsurplus_rolling_std,189917.46875
load_ahead_publish_shanxi_diff3,171317.046875
load_ahead_publish_shanxi_diff1,158936.859375
load_ahead_publish_ningxia_diff3,154512.390625
sdsurplus_lag3,141482.609375
jingjiakongjian_diff1,133490.9375
load_ahead_publish_xinjiang_rolling_std,124535.9375
load_ahead_publish_xinjiang_diff1,119622.671875
load_ahead_publish_ningxia_diff1,118948.9140625
