feature_name,importance_gain
sdsurplus,10974749696.0
sdsurplus_lag1,7225733120.0
sdsurplus_lag2,3816877056.0
jingjiakongjian_lag1,3287008000.0
jingjiakongjian,3125104128.0
sdsurplus_lag7,2648049152.0
jingjiakongjian_lag2,2632652800.0
sdsurplus_lag5,2486090240.0
jingjiakongjian_lag7,2361547264.0
sdsurplus_lag6,2331648768.0
jingjiakongjian_lag6,2217174016.0
sdsurplus_lag4,1992837632.0
jingjiakongjian_lag4,1909947520.0
sdsurplus_lag3,1891907456.0
jingjiakongjian_lag5,1709068800.0
jingjiakongjian_lag3,1690324096.0
