feature_name,importance_gain
jingjiakongjian,6203978.5
sdsurplus,5396757.0
jingjiakongjian_lag1,2176618.25
sdsurplus_lag1,1603965.875
sdsurplus_lag2,696175.1875
jingjiakongjian_lag2,594825.1875
load_ahead_publish_xinjiang_lag1,509943.34375
load_ahead_publish_xinjiang,509226.75
jingjiakongjian_lag3,440418.625
load_ahead_publish_shanxi_lag6,435748.9375
load_ahead_publish_xinjiang_lag3,429317.28125
load_ahead_publish_shanxi_lag4,429294.71875
load_ahead_publish_xinjiang_lag7,428980.53125
load_ahead_publish_xinjiang_lag6,424591.625
load_ahead_publish_xinjiang_lag2,405516.96875
sdsurplus_lag7,400011.8125
load_ahead_publish_shanxi_lag5,379384.40625
load_ahead_publish_xinjiang_lag5,371861.46875
load_ahead_publish_xinjiang_lag4,366923.4375
jingjiakongjian_lag7,355593.15625
load_ahead_publish_shanxi_lag7,318227.0
load_ahead_publish_shanxi_lag3,315510.03125
load_ahead_publish_shanxi_lag2,309323.375
load_ahead_publish_shanxi_lag1,294858.65625
load_ahead_publish_ningxia_lag1,294832.25
load_ahead_publish_shanxi,294491.0
load_ahead_publish_ningxia_lag2,281342.0625
load_ahead_publish_ningxia_lag3,275740.8125
sdsurplus_lag6,266390.90625
jingjiakongjian_lag6,264426.3125
load_ahead_publish_ningxia_lag4,249557.09375
load_ahead_publish_ningxia,243563.234375
load_ahead_publish_ningxia_lag5,235936.28125
load_ahead_publish_ningxia_lag6,220079.09375
load_ahead_publish_ningxia_lag7,202117.6875
jingjiakongjian_lag5,185935.46875
jingjiakongjian_lag4,158501.28125
sdsurplus_lag3,144649.953125
sdsurplus_lag5,126391.84375
sdsurplus_lag4,120025.609375
