feature_name,importance_gain
feeltemp_620001,17765849088.0
solar_term,12148767744.0
feeltemp_620002,9196369920.0
windspeed_620002,8774414336.0
humidity_620000,8394112512.0
feeltemp_620000,8239853056.0
humidity_620001,7604790784.0
rainfall_620002,6632538112.0
rainfall_620001,6396333568.0
pressure_620001,6316684800.0
pressure_620002,6036168192.0
rainfall_620000,5902702080.0
windspeed_620000,5386162688.0
temperature_620002,5233881088.0
winddirection_620001,5182796288.0
humidity_620002,5086728192.0
pressure_620000,4638777344.0
windspeed_620001,4371982848.0
winddirection_620002,4332336640.0
totalcloud_620001,4278897152.0
solartotal_620002,4079513088.0
temperature_620001,4074543104.0
solartotal_620001,3953467392.0
totalcloud_620002,3865801728.0
jingjiakongjian,3477532160.0
winddirection_620000,3453458432.0
totalcloud_620000,2937234176.0
hydro_ahead_publish,2653364736.0
load_ahead_publish_ningxia,2486985216.0
sdsurplus,2319097344.0
solartotal_620000,2019319808.0
sdsurplus_ahead_publish,1870945664.0
temperature_620000,1850370432.0
load_ahead_publish_xinjiang,1757849088.0
load_ahead_publish_shanxi,1458025600.0
tieline_ahead_publish,1408323072.0
price_ahead_clear_shift_1,1361350784.0
time_order,922826944.0
wind_ahead_publish,741272640.0
pv_ahead_publish,695412352.0
ne_ahead_publish,469840928.0
dg_ahead_publish,305039296.0
load_ahead_publish,231564144.0
gen_ahead_publish,77254120.0
