feature_name,importance_gain
feeltemp_620001_lag3,3391449.5
jingjiakongjian_rolling_mean,2461590.25
feeltemp_620001_rolling_mean,2200093.0
solar_term_lag1,1548616.0
feeltemp_620000_lag3,1405154.875
humidity_620000_lag3,1341252.375
feeltemp_620002_lag3,1339717.25
ne_ahead_publish_diff3,1317749.5
windspeed_620000_lag1,1201672.0
pressure_620002_lag3,1128237.125
windspeed_620002_lag1,1041391.0625
feeltemp_620001,1031521.9375
hydro_ahead_publish_rolling_mean,985513.0625
pressure_620001,983500.1875
load_ahead_publish_ningxia_lag3,977613.5
pressure_620001_rolling_mean,974983.4375
load_ahead_publish_ningxia_rolling_mean,944568.1875
solartotal_620000_lag3,929439.6875
wind_ahead_publish_rolling_mean,924817.9375
hydro_ahead_publish,920699.25
windspeed_620001,916366.5625
hydro_ahead_publish_diff3,906894.5625
solar_term,900876.4375
solartotal_620002,900487.375
feeltemp_620002_lag1,898387.125
pressure_620001_lag1,891427.9375
tieline_ahead_publish_lag3,878149.25
load_ahead_publish_xinjiang_lag1,875283.125
winddirection_620002,865512.125
jingjiakongjian,861858.0625
temperature_620001_rolling_mean,822116.375
temperature_620002_lag1,818029.0625
pressure_620002_lag1,811522.0
humidity_620002_rolling_mean,805116.4375
totalcloud_620000_lag3,803951.0
solar_term_rolling_mean,786413.75
wind_ahead_publish_diff1,784402.75
load_ahead_publish_shanxi_lag3,783209.0625
totalcloud_620001_lag3,781307.5
humidity_620002_lag1,770818.375
load_ahead_publish_shanxi_rolling_mean,767672.4375
totalcloud_620001_rolling_mean,753807.375
pressure_620000_lag3,735907.25
tieline_ahead_publish,734855.75
pressure_620002,733618.0625
load_ahead_publish_ningxia,728374.625
pressure_620001_lag3,724109.9375
time_order_lag3,717623.875
load_ahead_publish_xinjiang_rolling_mean,706480.8125
feeltemp_620000,700966.75
humidity_620000,697127.9375
winddirection_620000_lag3,686231.625
wind_ahead_publish_lag3,673197.5625
winddirection_620000,669985.625
tieline_ahead_publish_lag1,664972.5625
rainfall_620001_rolling_mean,660735.875
load_ahead_publish_ningxia_lag1,641301.5
ne_ahead_publish_lag3,636378.625
winddirection_620002_lag3,631016.5
totalcloud_620001_lag1,630491.1875
temperature_620001_lag3,629910.4375
humidity_620002_lag3,621417.0
