feature_name,importance_gain
pv_ahead_publish,557.0160522460938
load_ahead_publish_ningxia_lag1,382.7755126953125
ne_ahead_publish_lag2,214.28628540039062
totalcloud_620001,170.96636962890625
winddirection_620002_lag3,161.74896240234375
totalcloud_620000_lag1,126.80165100097656
solar_term,115.668701171875
gen_ahead_publish,0.0
dg_ahead_publish,0.0
ne_ahead_publish,0.0
load_ahead_publish,0.0
wind_ahead_publish,0.0
hydro_ahead_publish,0.0
tieline_ahead_publish,0.0
jingjiakongjian,0.0
sdsurplus,0.0
time_order,0.0
temperature_620000,0.0
temperature_620001,0.0
temperature_620002,0.0
pressure_620000,0.0
pressure_620001,0.0
pressure_620002,0.0
solartotal_620000,0.0
solartotal_620001,0.0
solartotal_620002,0.0
totalcloud_620000,0.0
totalcloud_620002,0.0
humidity_620000,0.0
humidity_620001,0.0
humidity_620002,0.0
windspeed_620000,0.0
windspeed_620001,0.0
windspeed_620002,0.0
winddirection_620000,0.0
winddirection_620001,0.0
winddirection_620002,0.0
rainfall_620000,0.0
rainfall_620001,0.0
rainfall_620002,0.0
feeltemp_620000,0.0
feeltemp_620001,0.0
feeltemp_620002,0.0
load_ahead_publish_xinjiang,0.0
load_ahead_publish_shanxi,0.0
load_ahead_publish_ningxia,0.0
gen_ahead_publish_lag1,0.0
gen_ahead_publish_lag2,0.0
gen_ahead_publish_lag3,0.0
dg_ahead_publish_lag1,0.0
dg_ahead_publish_lag2,0.0
dg_ahead_publish_lag3,0.0
ne_ahead_publish_lag1,0.0
ne_ahead_publish_lag3,0.0
load_ahead_publish_lag1,0.0
load_ahead_publish_lag2,0.0
load_ahead_publish_lag3,0.0
wind_ahead_publish_lag1,0.0
wind_ahead_publish_lag2,0.0
wind_ahead_publish_lag3,0.0
pv_ahead_publish_lag1,0.0
pv_ahead_publish_lag2,0.0
pv_ahead_publish_lag3,0.0
hydro_ahead_publish_lag1,0.0
hydro_ahead_publish_lag2,0.0
hydro_ahead_publish_lag3,0.0
tieline_ahead_publish_lag1,0.0
tieline_ahead_publish_lag2,0.0
tieline_ahead_publish_lag3,0.0
jingjiakongjian_lag1,0.0
jingjiakongjian_lag2,0.0
jingjiakongjian_lag3,0.0
sdsurplus_lag1,0.0
sdsurplus_lag2,0.0
sdsurplus_lag3,0.0
time_order_lag1,0.0
time_order_lag2,0.0
time_order_lag3,0.0
temperature_620000_lag1,0.0
temperature_620000_lag2,0.0
temperature_620000_lag3,0.0
temperature_620001_lag1,0.0
temperature_620001_lag2,0.0
temperature_620001_lag3,0.0
temperature_620002_lag1,0.0
temperature_620002_lag2,0.0
temperature_620002_lag3,0.0
pressure_620000_lag1,0.0
pressure_620000_lag2,0.0
pressure_620000_lag3,0.0
pressure_620001_lag1,0.0
pressure_620001_lag2,0.0
pressure_620001_lag3,0.0
pressure_620002_lag1,0.0
pressure_620002_lag2,0.0
pressure_620002_lag3,0.0
solartotal_620000_lag1,0.0
solartotal_620000_lag2,0.0
solartotal_620000_lag3,0.0
solartotal_620001_lag1,0.0
solartotal_620001_lag2,0.0
solartotal_620001_lag3,0.0
solartotal_620002_lag1,0.0
solartotal_620002_lag2,0.0
solartotal_620002_lag3,0.0
totalcloud_620000_lag2,0.0
totalcloud_620000_lag3,0.0
totalcloud_620001_lag1,0.0
totalcloud_620001_lag2,0.0
totalcloud_620001_lag3,0.0
totalcloud_620002_lag1,0.0
totalcloud_620002_lag2,0.0
totalcloud_620002_lag3,0.0
humidity_620000_lag1,0.0
humidity_620000_lag2,0.0
humidity_620000_lag3,0.0
humidity_620001_lag1,0.0
humidity_620001_lag2,0.0
humidity_620001_lag3,0.0
humidity_620002_lag1,0.0
humidity_620002_lag2,0.0
humidity_620002_lag3,0.0
windspeed_620000_lag1,0.0
windspeed_620000_lag2,0.0
windspeed_620000_lag3,0.0
windspeed_620001_lag1,0.0
windspeed_620001_lag2,0.0
windspeed_620001_lag3,0.0
windspeed_620002_lag1,0.0
windspeed_620002_lag2,0.0
windspeed_620002_lag3,0.0
winddirection_620000_lag1,0.0
winddirection_620000_lag2,0.0
winddirection_620000_lag3,0.0
winddirection_620001_lag1,0.0
winddirection_620001_lag2,0.0
winddirection_620001_lag3,0.0
winddirection_620002_lag1,0.0
winddirection_620002_lag2,0.0
rainfall_620000_lag1,0.0
rainfall_620000_lag2,0.0
rainfall_620000_lag3,0.0
rainfall_620001_lag1,0.0
rainfall_620001_lag2,0.0
rainfall_620001_lag3,0.0
rainfall_620002_lag1,0.0
rainfall_620002_lag2,0.0
rainfall_620002_lag3,0.0
feeltemp_620000_lag1,0.0
feeltemp_620000_lag2,0.0
feeltemp_620000_lag3,0.0
feeltemp_620001_lag1,0.0
feeltemp_620001_lag2,0.0
feeltemp_620001_lag3,0.0
feeltemp_620002_lag1,0.0
feeltemp_620002_lag2,0.0
feeltemp_620002_lag3,0.0
solar_term_lag1,0.0
solar_term_lag2,0.0
solar_term_lag3,0.0
load_ahead_publish_xinjiang_lag1,0.0
load_ahead_publish_xinjiang_lag2,0.0
load_ahead_publish_xinjiang_lag3,0.0
load_ahead_publish_shanxi_lag1,0.0
load_ahead_publish_shanxi_lag2,0.0
load_ahead_publish_shanxi_lag3,0.0
load_ahead_publish_ningxia_lag2,0.0
load_ahead_publish_ningxia_lag3,0.0
