feature_name,importance_gain
feeltemp_620001,1295496.25
jingjiakongjian,1022487.1875
feeltemp_620000,916220.75
windspeed_620002,873441.6875
load_ahead_publish_ningxia,858507.5625
solar_term,822298.4375
hydro_ahead_publish,775501.1875
humidity_620000,701818.5
winddirection_620002,691859.4375
totalcloud_620001,681726.4375
tieline_ahead_publish,678720.9375
temperature_620002,653397.0625
pressure_620001,646852.6875
feeltemp_620002,645251.75
load_ahead_publish_shanxi,642127.5
winddirection_620000,630010.0
pressure_620002,603765.5
windspeed_620000,595032.6875
humidity_620002,584431.25
pressure_620000,583131.625
humidity_620001,562673.875
windspeed_620001,554707.75
wind_ahead_publish,540333.8125
winddirection_620001,535006.1875
temperature_620001,532758.8125
totalcloud_620002,529797.75
load_ahead_publish_xinjiang,519307.96875
solartotal_620001,513728.40625
totalcloud_620000,497719.65625
rainfall_620001,497214.28125
rainfall_620000,493560.75
sdsurplus,452980.21875
solartotal_620002,417846.03125
rainfall_620002,412524.6875
temperature_620000,395333.28125
ne_ahead_publish,394541.5
time_order,367215.6875
solartotal_620000,331860.71875
pv_ahead_publish,314502.34375
dg_ahead_publish,283252.0
load_ahead_publish,226766.515625
gen_ahead_publish,174243.5625
